Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Buddy Distance,Charged Move Cost
Beedrill,77.2,bug,poison,127.6,106.2,129,1749201,31,Poison Jab,X-Scissor,Drill Run,1,10000
Feraligatr,77.1,water,none,123.3,118,124,1803586,19.5,Water Gun,Hydro Cannon,Crunch,3,10000
Gloom (Shadow),77,grass,poison,122.6,114.9,130,1830873,37.5,Razor Leaf,Sludge Bomb,Petal Blizzard,3,50000
Hitmonchan,76.8,fighting,none,128.2,137.3,98,1725104,23.5,Counter,Ice Punch,Thunder Punch,5,75000
Farfetch'd,76.7,normal,flying,116.8,109.2,131,1671469,50,Fury Cutter,Leaf Blade,Aerial Ace,3,50000
Sceptile,76.7,grass,none,136.9,108.5,110,1633945,19.5,Bullet Seed,Leaf Blade,Earthquake,3,10000
Typhlosion,76.7,fire,none,132.2,108.3,117,1674892,19,Incinerate,Blast Burn,Solar Beam,3,10000
Marshtomp (Shadow),76.6,water,ground,121.2,109.9,139,1851275,33.5,Mud Shot,Surf,Mud Bomb,3,10000
Milotic,76.6,water,none,113.2,132.2,132,1974479,18.5,Waterfall,Surf,Blizzard,5,75000
Victreebel (Shadow),76.6,grass,poison,135.8,94.8,128,1648364,23,Razor Leaf,Leaf Blade,Acid Spray,3,50000
Corsola,76.5,water,rock,109.3,141.6,133,2057200,47.5,Bubble,Rock Blast,Bubble Beam,3,50000
Vileplume (Shadow),76.5,grass,poison,129.1,110.9,121,1732053,22,Razor Leaf,Sludge Bomb,Petal Blizzard,3,50000
Ampharos,76.4,electric,none,127.4,106.8,129,1754935,19.5,Volt Switch,Thunder Punch,Dragon Pulse,5,75000
Omastar,76.4,rock,water,126.1,128.4,109,1764728,20,Mud Shot,Rock Slide,Rock Blast,5,75000
Rufflet,76.4,normal,flying,126.3,91.1,153,1759870,46,Wing Attack,Brave Bird,Aerial Ace,5,75000
Bayleef,76.3,grass,none,105.6,141.6,141,2107468,49.5,Razor Leaf,Grass Knot,Ancient Power,3,10000
Grotle,76.3,grass,none,118.3,116.1,138,1895093,30.5,Razor Leaf,Body Slam,Energy Ball,3,10000
Quagsire (Shadow),76.3,water,ground,111.3,112,161,2005558,28.5,Mud Shot,Stone Edge,Earthquake,3,50000
Roserade,76.3,grass,poison,143.1,114.9,95,1561844,18.5,Bullet Seed,Weather Ball (Fire),Leaf Storm,3,50000
Cloyster (Shadow),76.2,water,ice,119.7,166,94,1867851,22,Ice Shard,Avalanche,Icy Wind,3,50000
Croconaw,76.2,water,none,118.8,118.8,134,1891327,35,Water Gun,Ice Punch,Crunch,3,10000
Gligar,76.2,ground,flying,108,146.2,130,2052969,30.5,Wing Attack,Night Slash,Dig,5,75000
Ho-Oh,76.2,fire,flying,123.6,128.2,114,1806501,14.5,Incinerate,Brave Bird,Earthquake,20,100000
Bonsly,76.1,rock,none,116.8,124.4,127,1844799,50,Counter,Rock Slide,Earthquake,5,10000
Pidgeot,76.1,normal,flying,117.2,113.8,143,1905836,26,Gust,Aerial Ace,Brave Bird,1,10000
Spinda,76.1,normal,none,110.1,110.1,142,1720678,50,Psycho Cut,Icy Wind,Rock Tomb,3,50000
Cryogonal,76,ice,none,116.5,136.2,121,1919929,20,Ice Shard,Night Slash,Aurora Beam,5,75000
Marshtomp,76,water,ground,121.2,109.9,139,1851275,33.5,Mud Shot,Surf,Mud Bomb,3,10000
Wailord,76,water,none,119.6,66.8,235,1876670,25,Water Gun,Surf,Blizzard,1,10000
Ursaring,75.9,normal,none,140.3,89.1,128,1600223,19,Shadow Claw,Close Combat,Hyper Beam,3,50000
Geodude (Alolan),75.8,rock,electric,123.5,123.5,113,1724177,50,Volt Switch,Rock Slide,Thunderbolt,1,10000
Machoke (Shadow),75.8,fighting,none,127.7,97.2,141,1750103,27,Karate Chop,Cross Chop,Dynamic Punch,3,50000
Magmar (Shadow),75.8,fire,none,136.6,107.5,112,1645117,23.5,Karate Chop,Fire Punch,Flamethrower,5,75000
Ursaring (Shadow),75.7,normal,none,140.3,89.1,128,1600223,19,Shadow Claw,Close Combat,Hyper Beam,3,50000
Electabuzz (Shadow),75.6,electric,none,132.8,111.4,114,1685681,23.5,Thunder Shock,Thunder Punch,Thunderbolt,5,75000
Alakazam (Shadow),75.5,psychic,none,157,103.1,88,1425029,18,Psycho Cut,Fire Punch,Shadow Ball,3,50000
Electrode,75.5,electric,none,123.1,127.2,116,1816610,26.5,Volt Switch,Foul Play,Thunderbolt,3,50000
Heracross,75.5,bug,fighting,134.7,107.9,114,1655921,17.5,Counter,Close Combat,Megahorn,3,50000
Ivysaur (Shadow),75.5,grass,poison,120.3,121.1,128,1864071,37.5,Vine Whip,Power Whip,Sludge Bomb,3,10000
Aerodactyl (Shadow),75.4,rock,flying,135,103.9,118,1656037,20,Rock Throw,Rock Slide,Earth Power,5,75000
Cloyster,75.4,water,ice,119.7,166,94,1867851,22,Ice Shard,Icy Wind,Hydro Pump,3,50000
Shelgon (Shadow),75.4,dragon,none,123.3,118.4,123,1795453,27.5,Dragon Breath,Dragon Pulse,Flamethrower,5,75000
Toxicroak,75.4,poison,fighting,136.6,91.5,131,1636876,22,Counter,Mud Bomb,Sludge Bomb,3,50000
Mismagius,75.3,ghost,none,133.8,120.8,104,1680621,21.5,Hex,Shadow Ball,Dark Pulse,3,50000
Grimer (Shadow),75.2,poison,none,123.6,86,171,1818779,49,Poison Jab,Mud Bomb,Sludge Bomb,3,50000
Bouffalant,75.1,normal,none,118.9,115.9,136,1873804,20,Mud Shot,Stomp,Megahorn,3,50000
Chinchou,75.1,water,electric,101.7,94.1,164,1569336,50,Spark,Thunderbolt,Bubble Beam,3,50000
Latias,75.1,dragon,psychic,124.5,137.9,105,1802286,16,Dragon Breath,Psychic,Outrage,20,100000
Litleo,75,fire,normal,121.1,106.1,143,1837354,49,Ember,Crunch,Flame Charge,3,10000
Arcanine (Shadow),74.9,fire,none,132.7,104,122,1683972,18.5,Snarl,Wild Charge,Crunch,3,50000
Magmortar (Shadow),74.9,fire,none,141.4,103.4,108,1578615,17.5,Karate Chop,Fire Punch,Thunderbolt,5,75000
Smoochum,74.9,ice,psychic,141.2,89.1,120,1508916,50,Powder Snow,Psyshock,Ice Punch,5,10000
Tirtouga,74.9,water,rock,113.9,132,130,1955087,47,Water Gun,Surf,Body Slam,5,75000
Wobbuffet (Shadow),74.9,psychic,none,63,101.7,333,2133829,50,Counter,Mirror Coat,Frustration,3,50000
Leavanny,74.8,bug,grass,131,109,120,1713215,22,Razor Leaf,Leaf Blade,X-Scissor,1,10000
Lileep,74.8,rock,grass,100.8,138.6,151,2111110,50,Bullet Seed,Grass Knot,Ancient Power,3,50000
Moltres (Shadow),74.8,fire,flying,136.3,102.6,117,1635633,16,Wing Attack,Sky Attack,Overheat,20,100000
Purugly,74.8,normal,none,125.5,105.5,133,1762021,28.5,Shadow Claw,Aerial Ace,Thunder,3,50000
Gastrodon (East),74.7,water,ground,114.4,102.5,167,1957876,24.5,Mud Slap,Body Slam,Earth Power,3,50000
Gastrodon (West),74.7,water,ground,114.4,102.5,167,1957876,24.5,Mud Slap,Body Slam,Earth Power,3,50000
Graveler,74.7,rock,ground,123.4,124.9,118,1819319,30.5,Mud Shot,Rock Slide,Rock Blast,1,10000
Growlithe (Shadow),74.7,fire,none,126.9,90.8,135,1554545,50,Ember,Body Slam,Flamethrower,3,50000
Misdreavus (Shadow),74.7,ghost,none,124.1,119,122,1801213,29.5,Hex,Dark Pulse,Ominous Wind,3,50000
Banette (Shadow),74.6,ghost,none,146.8,91.9,113,1524534,24.5,Shadow Claw,Shadow Ball,Thunder,3,50000
Carnivine,74.6,grass,none,130.2,101.2,130,1712621,25.5,Vine Whip,Power Whip,Crunch,5,75000
Seviper,74.6,poison,none,138.8,89.5,130,1616076,27,Poison Jab,Crunch,Poison Fang,3,50000
Dugtrio,74.5,ground,none,136.4,120.5,99,1627049,41.5,Mud Shot,Mud Bomb,Stone Edge,3,50000
Grovyle,74.5,grass,none,137.4,101.7,117,1633904,37.5,Bullet Seed,Leaf Blade,Aerial Ace,3,10000
Luxio,74.5,electric,none,134.1,89.1,139,1661818,45.5,Spark,Wild Charge,Crunch,5,75000
Alakazam,74.4,psychic,none,157,103.1,88,1425029,18,Psycho Cut,Fire Punch,Shadow Ball,3,50000
Minun,74.4,electric,none,116.8,126.8,129,1909761,37,Spark,Thunderbolt,Grass Knot,3,50000
Ninjask,74.4,bug,flying,144.2,89.1,120,1541269,28,Fury Cutter,Aerial Ace,Shadow Ball,5,75000
Swellow,74.4,normal,flying,136.7,98.6,121,1630044,29,Wing Attack,Brave Bird,Sky Attack,1,10000
Ledian,74.3,bug,flying,101.9,161.2,134,2201440,49,Bug Bite,Aerial Ace,Bug Buzz,1,10000
Poliwhirl,74.3,water,none,115.1,114.3,148,1947108,50,Mud Shot,Mud Bomb,Return,3,50000
Prinplup,74.3,water,none,119.1,116,136,1878103,37,Bubble,Icy Wind,Hydro Pump,3,10000
Chimecho,74.2,psychic,none,120.2,120.2,129,1864669,25,Extrasensory,Psyshock,Shadow Ball,5,75000
Dewott,74.2,water,none,124.2,98.6,147,1800321,33.5,Fury Cutter,Aqua Tail,X-Scissor,3,10000
Scyther (Shadow),74.2,bug,flying,134.9,110.7,111,1657053,20.5,Fury Cutter,Night Slash,X-Scissor,5,75000
Kricketune,74.1,bug,none,127.7,88,155,1742826,38,Fury Cutter,X-Scissor,Aerial Ace,1,10000
Beartic,74,ice,none,134.9,94.6,129,1646922,18,Powder Snow,Ice Punch,Surf,3,50000
Moltres,74,fire,flying,136.3,102.6,117,1635633,16,Wing Attack,Sky Attack,Overheat,20,100000
Delcatty,73.9,normal,none,112.7,115.2,153,1986701,46.5,Feint Attack,Wild Charge,Disarming Voice,3,50000
Electabuzz,73.9,electric,none,132.8,111.4,114,1685681,23.5,Thunder Shock,Thunder Punch,Return,5,75000
Gothitelle,73.9,psychic,none,116.6,137.3,120,1920338,23.5,Confusion,Rock Slide,Psychic,3,50000
Grimer,73.8,poison,none,123.6,86,171,1818779,49,Poison Jab,Mud Bomb,Sludge Bomb,3,50000
Mantyke,73.8,water,flying,100.8,163,120,1972572,50,Bubble,Aerial Ace,Ice Beam,5,10000
Haxorus,73.7,dragon,none,151.1,95.7,102,1475018,15,Counter,Dragon Claw,Night Slash,5,75000
Kabutops,73.7,rock,water,135.5,121,100,1638836,20.5,Mud Shot,Stone Edge,Ancient Power,5,75000
Seaking,73.7,water,none,123.1,105.9,140,1825075,26.5,Waterfall,Drill Run,Icy Wind,3,50000
Mamoswine (Shadow),73.6,ice,ground,136.2,87.4,137,1630185,16.5,Powder Snow,Avalanche,Bulldoze,3,50000
Torterra (Shadow),73.6,grass,ground,120.5,117.6,131,1857185,19,Razor Leaf,Frenzy Plant,Stone Edge,3,10000
Gigalith,73.5,rock,none,127.2,118.4,116,1747772,17,Smack Down,Rock Slide,Superpower,3,50000
Gloom,73.5,grass,poison,122.6,114.9,130,1830873,37.5,Razor Leaf,Sludge Bomb,Petal Blizzard,3,50000
Nidorina (Shadow),73.5,poison,none,110.9,113.4,157,1975496,50,Poison Sting,Poison Fang,Sludge Bomb,3,50000
Victreebel,73.4,grass,poison,135.8,94.8,128,1648364,23,Razor Leaf,Leaf Blade,Acid Spray,3,50000
Huntail,73.3,water,none,131.5,126.3,102,1694679,24,Water Gun,Aqua Tail,Crunch,3,50000
Lileep (Shadow),73.2,rock,grass,100.8,138.6,151,2111110,50,Infestation,Grass Knot,Ancient Power,3,50000
Machoke,73.2,fighting,none,127.7,97.2,141,1750103,27,Karate Chop,Cross Chop,Return,3,50000
Mamoswine,73.2,ice,ground,136.2,87.4,137,1630185,16.5,Powder Snow,Avalanche,Bulldoze,3,50000
Torkoal,73.2,fire,none,107.6,151.3,127,2067715,27,Fire Spin,Overheat,Earthquake,3,50000
Venomoth,73.2,bug,poison,128.2,104.4,131,1752985,27.5,Infestation,Poison Fang,Bug Buzz,3,50000
Cherrim (Sunshine),73.1,grass,none,122.9,115.2,129,1826290,27,Bullet Seed,Weather Ball (Fire),Solar Beam,1,10000
Luxray,73.1,electric,none,138,99,118,1611912,19,Spark,Wild Charge,Crunch,5,75000
Manectric,73.1,electric,none,142.5,91.3,120,1561030,23.5,Snarl,Wild Charge,Flame Burst,3,50000
Venomoth (Shadow),73,bug,poison,128.2,104.4,131,1752985,27.5,Infestation,Poison Fang,Bug Buzz,3,50000
Armaldo (Shadow),72.9,rock,bug,133.3,110.9,113,1670643,19.5,Fury Cutter,Rock Blast,Cross Poison,3,50000
Frillish,72.9,water,ghost,109.2,125.2,135,1846427,50,Hex,Ice Beam,Ominous Wind,3,50000
Simisage,72.9,grass,none,136.6,94.5,126,1627774,23.5,Vine Whip,Grass Knot,Crunch,3,50000
Arcanine,72.8,fire,none,132.7,104,122,1683972,18.5,Snarl,Wild Charge,Crunch,3,50000
Boldore,72.8,rock,none,126.5,108.2,130,1779034,28,Smack Down,Rock Slide,Bulldoze,3,50000
Nidorino (Shadow),72.8,poison,none,124.2,103.7,140,1803300,46.5,Poison Jab,Sludge Bomb,Horn Attack,3,50000
Nidorina,72.7,poison,none,110.9,113.4,157,1975496,50,Poison Sting,Poison Fang,Sludge Bomb,3,50000
Vileplume,72.7,grass,poison,129.1,110.9,121,1732053,22,Razor Leaf,Sludge Bomb,Petal Blizzard,3,50000
Claydol,72.6,ground,psychic,102.7,173.3,121,2153472,28.5,Confusion,Earth Power,Shadow Ball,3,50000
Emolga,72.6,electric,flying,127.9,111.4,123,1752744,39,Thunder Shock,Discharge,Aerial Ace,1,10000
Gurdurr,72.6,fighting,none,124.8,99.8,143,1781718,25.5,Poison Jab,Stone Edge,Brick Break,5,75000
Golduck (Shadow),72.5,water,none,125.5,112.2,127,1787063,22.5,Confusion,Cross Chop,Ice Beam,3,50000
Staravia,72.5,normal,flying,131.9,91.6,135,1631281,50,Wing Attack,Brave Bird,Aerial Ace,1,10000
Magmortar,72.4,fire,none,141.4,103.4,108,1578615,17.5,Karate Chop,Fire Punch,Thunderbolt,5,75000
Oddish (Shadow),72.4,grass,poison,122.7,106.7,120,1571110,50,Razor Leaf,Seed Bomb,Sludge Bomb,3,50000
Charmeleon (Shadow),72.3,fire,none,127.1,109.1,127,1760642,39,Ember,Fire Punch,Flamethrower,3,10000
Porygon2,72.3,normal,none,123.7,115.7,127,1816950,21,Lock On,Tri Attack,Solar Beam,3,50000
Gothorita,72.2,psychic,none,112.5,130.8,135,1986960,41.5,Confusion,Psychic,Future Sight,3,50000
Slowpoke,72.2,water,psychic,104.2,95,186,1840271,50,Confusion,Psyshock,Psychic,3,50000
Stoutland,72.2,normal,none,125.8,114.7,124,1788973,19,Lick,Wild Charge,Crunch,1,10000
Misdreavus,72.1,ghost,none,124.1,119,122,1801213,29.5,Hex,Dark Pulse,Ominous Wind,3,50000
Omanyte (Shadow),72.1,rock,water,129.2,131.7,102,1735737,44.5,Mud Shot,Rock Blast,Brine,5,75000
Fraxure,72,dragon,none,145.5,89.3,119,1545235,24.5,Dragon Tail,Dragon Claw,Night Slash,5,75000
Seismitoad,72,water,ground,120.3,101.5,152,1856073,22,Mud Shot,Earth Power,Sludge Bomb,3,50000
Turtwig (Shadow),72,grass,none,112.6,105,135,1596678,50,Razor Leaf,Body Slam,Seed Bomb,3,10000
Celebi,71.8,psychic,grass,120.5,119.4,129,1855163,16.5,Confusion,Psychic,Seed Bomb,20,100000
Tranquill,71.8,normal,flying,124,101.4,143,1797495,49.5,Air Slash,Sky Attack,Aerial Ace,1,10000
Wartortle,71.8,water,none,107.9,137.8,139,2067932,48,Water Gun,Ice Beam,Hydro Pump,3,10000
Darmanitan (Standard),71.7,fire,none,151.3,71.4,137,1480445,18,Incinerate,Rock Slide,Overheat,3,50000
Golduck,71.7,water,none,125.5,112.2,127,1787063,22.5,Confusion,Cross Chop,Ice Beam,3,50000
Kingler,71.7,water,none,143.9,115,93,1539736,19.5,Mud Shot,Crabhammer,X-Scissor,3,50000
Leafeon,71.7,grass,none,128.1,133.3,102,1742118,18.5,Quick Attack,Leaf Blade,Last Resort,5,75000
Persian (Shadow),71.7,normal,none,118.9,115.9,136,1874511,36,Feint Attack,Night Slash,Power Gem,3,50000
Roggenrola,71.7,rock,none,114.3,105,135,1620509,50,Smack Down,Stone Edge,Rock Blast,3,50000
Eelektross,71.6,electric,none,134.4,98,127,1672478,20,Spark,Dragon Claw,Crunch,1,10000
Nidorino,71.6,poison,none,124.2,103.7,140,1803300,46.5,Poison Jab,Sludge Bomb,Horn Attack,3,50000
Porygon2 (Shadow),71.6,normal,none,123.7,115.7,127,1816950,21,Lock On,Tri Attack,Solar Beam,3,50000
Persian,71.5,normal,none,118.9,115.9,136,1874511,36,Feint Attack,Night Slash,Return,3,50000
Rapidash,71.5,fire,none,134.7,110.9,111,1658326,22,Incinerate,Drill Run,Flame Charge,3,50000
Dusknoir (Shadow),71.4,ghost,none,119.8,172.9,90,1864291,23.5,Hex,Dark Pulse,Psychic,3,50000
Tangela,71.4,grass,none,125,121.7,117,1778920,24.5,Vine Whip,Grass Knot,Sludge Bomb,3,50000
Teddiursa (Shadow),71.4,normal,none,130.2,90.8,142,1678466,50,Lick,Cross Chop,Crunch,3,50000
Torterra,71.4,grass,ground,120.5,117.6,131,1857185,19,Razor Leaf,Frenzy Plant,Stone Edge,3,10000
Archen,71.3,rock,flying,160.1,76,115,1399059,31,Wing Attack,Dragon Claw,Crunch,5,75000
Archeops,71.3,rock,flying,160.6,81.4,106,1385816,16.5,Wing Attack,Dragon Claw,Crunch,5,75000
Charmeleon,71.3,fire,none,127.1,109.1,127,1760642,39,Ember,Fire Punch,Return,3,10000
Growlithe,71.3,fire,none,126.9,90.8,135,1554545,50,Ember,Body Slam,Flamethrower,3,50000
Tentacruel,71.3,water,poison,110.1,139.9,132,2032660,23.5,Poison Jab,Acid Spray,Hydro Pump,3,50000
Dusknoir,71.2,ghost,none,119.8,172.9,90,1864291,23.5,Hex,Dark Pulse,Psychic,3,50000
Slowpoke (Shadow),71.2,water,psychic,104.2,95,186,1840271,50,Confusion,Psyshock,Psychic,3,50000
Chandelure,71,ghost,fire,151.4,106.9,91,1472749,16.5,Incinerate,Shadow Ball,Flame Charge,5,75000
Eelektrik,71,electric,none,123.2,110.9,133,1818238,36.5,Spark,Crunch,Discharge,1,10000
Glaceon,71,ice,none,137.2,124.1,96,1634258,18,Ice Shard,Avalanche,Icy Wind,5,75000
Qwilfish,71,water,poison,130.5,105.5,123,1693578,27,Poison Sting,Aqua Tail,Sludge Wave,3,50000
Slowking,71,water,psychic,113.4,120.9,143,1961133,22,Confusion,Psychic,Blizzard,3,50000
Scolipede,70.9,bug,poison,132.6,121.1,105,1686037,23,Poison Jab,X-Scissor,Sludge Bomb,1,10000
Slowbro,70.8,water,psychic,113.4,120.9,143,1961133,22,Confusion,Psychic,Ice Beam,3,50000
Amoonguss,70.7,grass,poison,110.4,102,181,2038411,27,Feint Attack,Grass Knot,Sludge Bomb,3,50000
Hippowdon,70.7,ground,none,116.2,116.8,141,1912627,18,Ice Fang,Body Slam,Stone Edge,3,50000
Sliggoo,70.7,dragon,none,115.2,132.6,127,1940188,27,Water Gun,Muddy Water,Dragon Pulse,5,75000
Mr. Rime,70.6,ice,psychic,129,114.1,118,1737399,20,Confusion,Icy Wind,Psychic,5,75000
Ariados,70.5,bug,poison,124.7,102,141,1793573,34,Poison Sting,Megahorn,Cross Poison,1,10000
Darumaka (Galarian),70.5,ice,none,132,83.5,154,1697707,49,Ice Fang,Ice Punch,Ice Beam,3,50000
Espurr,70.5,psychic,none,113.4,108.4,145,1783036,50,Confusion,Psyshock,Energy Ball,3,50000
Fletchinder,70.5,fire,flying,123,103.2,142,1801392,47,Ember,Flame Charge,Aerial Ace,1,10000
Teddiursa,70.5,normal,none,130.2,90.8,142,1678466,50,Lick,Cross Chop,Crunch,3,50000
Staraptor,70.4,normal,flying,140.4,90.8,124,1581461,19.5,Wing Attack,Brave Bird,Close Combat,1,10000
Quilava,70.3,fire,none,127.1,109.1,127,1760642,39,Ember,Flame Charge,Flamethrower,3,10000
Slowbro (Shadow),70.3,water,psychic,113.4,120.9,143,1961133,22,Confusion,Psychic,Ice Beam,3,50000
