Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Roserade,89.8,grass,poison,143.1,114.9,95,1561844,18.5,Poison Jab,Weather Ball (Fire),Grass Knot,5,8,3,50000
Venusaur,89.7,grass,poison,122.5,121.9,122,1820851,20,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Graveler (Alolan),89.5,rock,electric,123.4,124.9,118,1819319,30.5,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Marowak (Alolan) (Shadow),89.5,fire,ghost,110.8,145,126,2025310,32,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Pidgeot,89.5,normal,flying,117.2,113.8,143,1905836,26,Gust,Feather Dance,Brave Bird,5,5,1,10000
Snorlax (Shadow),89.5,normal,none,108.4,101.7,187,2061936,17.5,Lick,Body Slam,Superpower,12,14,5,75000
Stunfisk,89.5,ground,electric,101.8,127.9,169,2200089,26.5,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Ninetales (Shadow),89.3,fire,none,115.1,133.6,126,1936253,24.5,Ember,Weather Ball (Fire),Overheat,6,10,3,50000
Walrein (Shadow),89.3,ice,water,113.1,114.3,153,1978119,20.5,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Lurantis,89.2,grass,none,126.9,114.6,121,1760366,23.5,Fury Cutter,Leaf Blade,Superpower,9,10,3,50000
Obstagoon,89.1,dark,normal,112.6,126.7,138,1969669,21,Counter,Night Slash,Cross Chop,5,5,3,10000
Beedrill,88.9,bug,poison,127.6,106.2,129,1749201,31,Poison Jab,X-Scissor,Drill Run,5,7,1,10000
Shiftry (Shadow),88.8,grass,dark,134.2,87.7,142,1670632,24,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Swampert,88.7,water,ground,123,108.6,136,1815930,18.5,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Luxray,88.6,electric,none,138,99,118,1611912,19,Spark,Wild Charge,Psychic Fangs,6,5,5,75000
Electrode (Hisuian),88.4,electric,grass,123.3,130.1,113,1812571,26,Thunder Shock,Wild Charge,Energy Ball,5,7,3,50000
Marowak (Alolan),88.2,fire,ghost,110.8,145,126,2025310,32,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Castform (Sunny),88.1,fire,none,113.4,119.6,146,1979669,38.5,Ember,Weather Ball (Fire),Solar Beam,6,14,5,75000
Venusaur (Shadow),88,grass,poison,122.5,121.9,122,1820851,20,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Ferrothorn,87.8,grass,steel,107.3,155.1,125,2080828,24,Bullet Seed,Power Whip,Mirror Shot,4,3,3,75000
Snorlax,87.6,normal,none,108.4,101.7,187,2061936,17.5,Lick,Body Slam,Superpower,12,14,5,75000
Zangoose,87.6,normal,none,144.8,87.1,122,1539050,23,Shadow Claw,Close Combat,Night Slash,6,5,3,50000
Electivire (Shadow),87.5,electric,none,144,98,110,1552610,18,Thunder Shock,Wild Charge,Thunder Punch,5,5,5,75000
Wormadam (Trash),87.5,bug,steel,105.2,150.9,134,2126928,42.5,Confusion,Bug Buzz,Iron Head,5,5,1,10000
Scolipede,87.3,bug,poison,132.6,121.1,105,1686037,23,Poison Jab,X-Scissor,Megahorn,5,8,1,10000
Talonflame,87.3,fire,flying,122.1,114.7,131,1834291,25.5,Incinerate,Brave Bird,Flame Charge,3,3,1,10000
Magmar (Shadow),87.1,fire,none,136.6,107.5,112,1645117,23.5,Karate Chop,Fire Punch,Flamethrower,5,7,5,75000
Meganium,87.1,grass,none,111.5,138.4,130,2005358,23,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Whiscash,87.1,water,ground,107.6,107.6,178,2060545,27,Mud Shot,Mud Bomb,Blizzard,5,9,1,10000
Araquanid,87,water,bug,97.9,176.1,133,2292389,33.5,Bug Bite,Bug Buzz,Bubble Beam,20,14,3,50000
Forretress,87,bug,steel,110.2,141.6,130,2028758,25,Bug Bite,Mirror Shot,Earthquake,12,22,5,75000
Salazzle,87,poison,fire,146.6,90.9,114,1518532,22,Incinerate,Poison Fang,Sludge Wave,2,4,3,50000
Munchlax,86.9,normal,none,104,95.2,218,2158275,31,Lick,Body Slam,Bulldoze,12,20,5,10000
Pelipper,86.9,water,flying,123.3,128.7,114,1809463,26,Wing Attack,Weather Ball (Water),Hurricane,5,10,3,50000
Ariados,86.8,bug,poison,124.7,102,141,1793573,34,Poison Sting,Cross Poison,Lunge,4,5,1,10000
Gourgeist (Super),86.7,ghost,grass,115.8,128.8,130,1939976,21.5,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Mantine,86.7,water,flying,106.2,163.1,122,2113576,27,Wing Attack,Bubble Beam,Aerial Ace,6,7,5,75000
Chesnaught,86.6,grass,fighting,119.9,124.6,125,1868328,19,Vine Whip,Superpower,Energy Ball,5,7,3,10000
Heracross,86.6,bug,fighting,134.7,107.9,114,1655921,17.5,Counter,Rock Blast,Megahorn,6,8,3,50000
Raichu,86.6,electric,none,133.6,110.6,113,1669771,25.5,Volt Switch,Wild Charge,Thunder Punch,3,3,1,10000
Serperior,86.6,grass,none,110.2,143.6,128,2025814,25,Vine Whip,Frenzy Plant,Aerial Ace,6,6,3,10000
Charjabug,86.5,bug,electric,116.1,132.4,126,1936447,38,Spark,X-Scissor,Discharge,5,6,1,10000
Greedent,86.3,normal,none,107.5,110.7,175,2083197,23.5,Bullet Seed,Body Slam,Crunch,3,4,1,10000
Gourgeist (Large),86.1,ghost,grass,116.6,136.9,121,1930877,22.5,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Magcargo,86.1,fire,rock,110.2,157.9,116,2017737,36.5,Incinerate,Stone Edge,Overheat,3,3,1,10000
Cradily (Shadow),86,rock,grass,106.3,139,143,2111521,26,Bullet Seed,Stone Edge,Grass Knot,5,4,3,50000
Pinsir (Shadow),86,bug,none,141.3,111.5,101,1591266,18.5,Fury Cutter,Close Combat,X-Scissor,12,9,5,75000
Lickilicky,85.7,normal,none,106.3,121.1,164,2111832,23,Lick,Body Slam,Shadow Ball,12,19,3,50000
Pinsir,85.7,bug,none,141.3,111.5,101,1591266,18.5,Fury Cutter,Close Combat,X-Scissor,12,9,5,75000
Shiftry,85.7,grass,dark,134.2,87.7,142,1670632,24,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Raikou,85.4,electric,none,130.9,110.1,118,1700490,16,Volt Switch,Wild Charge,Shadow Ball,3,4,20,100000
Gourgeist (Average),85.3,ghost,grass,116.6,147,112,1919131,23.5,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Qwilfish,85.3,water,poison,130.5,105.5,123,1693578,27,Poison Sting,Aqua Tail,Sludge Wave,4,8,3,50000
Gourgeist (Small),84.9,ghost,grass,117,153.4,106,1903085,24.5,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Ivysaur,84.9,grass,poison,118.6,121.7,130,1876886,36.5,Vine Whip,Sludge Bomb,Power Whip,7,7,3,10000
Farfetch'd,84.7,normal,flying,116.8,109.2,131,1671469,50,Fury Cutter,Leaf Blade,Aerial Ace,9,12,3,50000
Escavalier,84.6,bug,steel,133.9,116.8,107,1673454,19.5,Counter,Megahorn,Drill Run,8,7,3,50000
Lanturn,84.6,water,electric,104.8,104.8,194,2131348,27,Spark,Thunderbolt,Hydro Pump,7,10,3,50000
Venomoth (Shadow),84.5,bug,poison,128.2,104.4,131,1752985,27.5,Infestation,Poison Fang,Bug Buzz,3,5,3,50000
Samurott,84.4,water,none,129,102.2,132,1740020,20,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Raikou (Shadow),84.3,electric,none,130.9,110.1,118,1700490,16,Volt Switch,Wild Charge,Shadow Ball,3,4,20,100000
Crustle,84.2,bug,rock,120.9,134.1,114,1848465,22,Smack Down,Rock Slide,X-Scissor,6,5,1,10000
Venomoth,84.2,bug,poison,128.2,104.4,131,1752985,27.5,Infestation,Poison Fang,Bug Buzz,3,5,3,50000
Gyarados,84,water,flying,130.8,108,121,1708726,16.5,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Linoone (Galarian),83.9,dark,normal,114.6,112.2,152,1953755,39,Snarl,Body Slam,Gunk Shot,3,6,1,10000
Magneton (Shadow),83.9,electric,steel,144.7,112.8,95,1550755,22,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Barbaracle,83.8,rock,water,120.4,133.1,115,1841752,20.5,Fury Cutter,Stone Edge,Cross Chop,14,9,3,50000
Meganium (Shadow),83.8,grass,none,111.5,138.4,130,2005358,23,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Quagsire,83.7,water,ground,111.3,112,161,2005558,28.5,Mud Shot,Stone Edge,Earthquake,7,8,3,50000
Zebstrika,83.6,electric,none,137.7,95.5,123,1617244,23,Spark,Wild Charge,Flame Charge,6,7,3,50000
Wigglytuff,83.4,normal,fairy,115.8,75.5,220,1924765,29,Charm,Ice Beam,Play Rough,10,10,1,10000
Charizard (Shadow),83.3,fire,flying,132.2,108.3,117,1674892,19,Wing Attack,Blast Burn,Dragon Claw,8,5,3,10000
Electivire,83.3,electric,none,144,98,110,1552610,18,Thunder Shock,Wild Charge,Thunder Punch,5,5,5,75000
Gyarados (Shadow),83.2,water,flying,130.8,108,121,1708726,16.5,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Oranguru,83.2,normal,psychic,110.9,131.2,139,2021720,22.5,Confusion,Psychic,Foul Play,5,4,3,75000
Charizard,83.1,fire,flying,132.2,108.3,117,1674892,19,Wing Attack,Blast Burn,Dragon Claw,8,5,3,10000
Exeggutor (Alolan) (Shadow),83.1,grass,dragon,134.4,94.2,131,1659647,18.5,Dragon Tail,Seed Bomb,Dragon Pulse,5,7,3,50000
Raichu (Alolan),83.1,electric,psychic,136.2,111.7,108,1643875,24.5,Volt Switch,Wild Charge,Thunder Punch,3,3,1,10000
Tangrowth,83.1,grass,none,121.8,112,135,1842421,18.5,Vine Whip,Rock Slide,Power Whip,6,7,3,50000
Castform,83,normal,none,113.4,119.6,146,1979669,38.5,Hex,Weather Ball (Rock),Energy Ball,3,5,5,75000
Dewgong,83,water,ice,102.9,133.8,158,2174933,29,Ice Shard,Icy Wind,Blizzard,5,8,3,50000
Azumarill,82.9,water,fairy,93.7,134.1,190,2387435,43.5,Bubble,Ice Beam,Play Rough,5,6,3,50000
Dedenne,82.8,electric,fairy,124.2,108.7,133,1795844,30.5,Thunder Shock,Discharge,Play Rough,5,7,3,50000
Magnemite (Shadow),82.8,electric,steel,148.7,113.4,89,1501640,50,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Omastar (Shadow),82.8,rock,water,126.1,128.4,109,1764728,20,Mud Shot,Rock Slide,Rock Blast,5,5,5,75000
Electrode (Shadow),82.7,electric,none,123.1,127.2,116,1816610,26.5,Volt Switch,Discharge,Foul Play,3,3,3,50000
Emolga,82.7,electric,flying,127.9,111.4,123,1752744,39,Thunder Shock,Discharge,Aerial Ace,5,5,1,10000
Forretress (Shadow),82.4,bug,steel,110.2,141.6,130,2028758,25,Bug Bite,Mirror Shot,Earthquake,12,22,5,75000
Marshtomp (Shadow),82.4,water,ground,121.2,109.9,139,1851275,33.5,Mud Shot,Surf,Mud Bomb,5,5,3,10000
Vespiquen,82.4,bug,flying,109.1,143.3,131,2049009,28.5,Fury Cutter,X-Scissor,Bug Buzz,9,15,3,50000
Bellossom,82.2,grass,none,115.7,132.9,126,1937741,24.5,Bullet Seed,Leaf Blade,Return,3,6,3,50000
Sealeo,82.2,ice,water,108.6,113.2,167,2053854,36.5,Powder Snow,Body Slam,Aurora Beam,5,8,3,50000
Sealeo (Shadow),82.2,ice,water,108.6,113.2,167,2053854,36.5,Powder Snow,Body Slam,Aurora Beam,5,8,3,50000
Torkoal,82.2,fire,none,107.6,151.3,127,2067715,27,Fire Spin,Overheat,Earthquake,6,7,3,50000
Magneton,82.1,electric,steel,144.7,112.8,95,1550755,22,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Ivysaur (Shadow),81.8,grass,poison,120.3,121.1,128,1864071,37.5,Vine Whip,Sludge Bomb,Power Whip,7,7,3,10000
Ampharos,81.7,electric,none,127.4,106.8,129,1754935,19.5,Volt Switch,Thunder Punch,Focus Blast,3,5,5,75000
Poliwrath (Shadow),81.7,water,fighting,116.5,119.7,138,1924689,22,Mud Shot,Ice Punch,Dynamic Punch,5,6,3,50000
Kingdra,81.6,water,dragon,121.8,126.1,119,1828072,21,Dragon Breath,Outrage,Octazooka,20,17,3,50000
Quilladin,81.6,grass,none,115.4,130,129,1935329,35.5,Vine Whip,Body Slam,Energy Ball,5,7,3,10000
Litleo,81.5,fire,normal,121.1,106.1,143,1837354,49,Ember,Crunch,Flame Charge,8,9,3,10000
Rufflet,81.5,normal,flying,126.3,91.1,153,1759870,46,Wing Attack,Brave Bird,Aerial Ace,8,7,5,75000
Azumarill,81.3,water,fairy,95.3,130.7,188,2341657,39.5,Bubble,Ice Beam,Play Rough,5,6,3,50000
Castform (Rainy),81.3,water,none,113.4,119.6,146,1979669,38.5,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Electrode,81.3,electric,none,123.1,127.2,116,1816610,26.5,Volt Switch,Discharge,Foul Play,3,3,3,50000
Luxio,81.3,electric,none,134.1,91.1,137,1672950,47.5,Spark,Wild Charge,Crunch,6,6,5,75000
Geodude (Alolan),81.2,rock,electric,123.5,123.5,113,1724177,50,Volt Switch,Rock Slide,Thunderbolt,3,4,1,10000
Golem (Alolan),81.2,rock,electric,125.2,121.7,117,1782513,19,Volt Switch,Wild Charge,Stone Edge,3,4,1,10000
Incineroar,81.2,fire,dark,125.8,106.9,132,1775070,18.5,Snarl,Dark Pulse,Flame Charge,4,4,3,10000
Lapras,81.2,water,ice,104.7,114,179,2135530,21.5,Ice Shard,Surf,Skull Bash,4,8,5,75000
Fletchinder,81.1,fire,flying,123,103.2,142,1801392,47,Ember,Flame Charge,Aerial Ace,9,8,1,10000
Exeggutor (Alolan),81,grass,dragon,134.4,94.2,131,1659647,18.5,Dragon Tail,Seed Bomb,Dragon Pulse,5,7,3,50000
Lileep,81,rock,grass,100.8,138.6,151,2111110,50,Bullet Seed,Grass Knot,Ancient Power,4,4,3,50000
Magmortar (Shadow),81,fire,none,141.4,103.4,108,1578615,17.5,Karate Chop,Fire Punch,Brick Break,5,5,5,75000
Poliwrath,81,water,fighting,116.5,119.7,138,1924689,22,Mud Shot,Ice Punch,Dynamic Punch,5,6,3,50000
Amoonguss,80.9,grass,poison,110.4,102,181,2038411,27,Feint Attack,Grass Knot,Sludge Bomb,9,9,3,50000
Gloom (Shadow),80.9,grass,poison,122.6,114.9,130,1830873,37.5,Razor Leaf,Sludge Bomb,Petal Blizzard,13,17,3,50000
Raticate (Alolan),80.9,dark,normal,107.5,130.7,148,2078413,37,Quick Attack,Crunch,Return,7,10,1,10000
Bellossom (Shadow),80.8,grass,none,115.7,132.9,126,1937741,24.5,Bullet Seed,Leaf Blade,Dazzling Gleam,3,6,3,50000
Electabuzz (Shadow),80.8,electric,none,132.8,111.4,114,1685681,23.5,Thunder Shock,Thunder Punch,Thunderbolt,5,7,5,75000
Ho-Oh,80.8,fire,flying,123.6,128.2,114,1806501,14.5,Incinerate,Brave Bird,Sacred Fire,3,4,20,100000
Houndoom (Shadow),80.8,dark,fire,140.8,94.9,119,1589764,21,Snarl,Crunch,Flamethrower,4,5,3,50000
Quagsire (Shadow),80.8,water,ground,111.3,112,161,2005558,28.5,Mud Shot,Stone Edge,Earthquake,7,8,3,50000
Tangrowth (Shadow),80.8,grass,none,121.8,112,135,1842421,18.5,Vine Whip,Rock Slide,Power Whip,6,7,3,50000
Tentacruel,80.8,water,poison,110.1,139.9,132,2032660,23.5,Poison Jab,Acid Spray,Hydro Pump,7,11,3,50000
Seaking,80.7,water,none,123.1,105.9,140,1825075,26.5,Poison Jab,Drill Run,Icy Wind,7,7,3,50000
Spinda,80.7,normal,none,110.1,110.1,142,1720678,50,Psycho Cut,Icy Wind,Rock Tomb,5,7,3,50000
Lapras (Shadow),80.6,water,ice,104.7,114,179,2135530,21.5,Ice Shard,Surf,Skull Bash,4,8,5,75000
Magnemite,80.6,electric,steel,148.7,113.4,89,1501640,50,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Durant,80.5,bug,steel,135.9,121.2,100,1647192,21,Bug Bite,X-Scissor,Stone Edge,12,19,3,50000
Victini,80.5,psychic,fire,120.5,119.4,129,1855163,16.5,Confusion,V-Create,Psychic,4,5,20,100000
Victreebel (Shadow),80.5,grass,poison,135.8,94.8,128,1648364,23,Razor Leaf,Leaf Blade,Acid Spray,9,12,3,50000
Armaldo (Shadow),80.4,rock,bug,133.3,110.9,113,1670643,19.5,Fury Cutter,Cross Poison,Rock Blast,9,10,3,50000
Growlithe (Shadow),80.4,fire,none,126.9,90.8,135,1554545,50,Ember,Body Slam,Flamethrower,6,10,3,50000
Magmar,80.3,fire,none,136.6,107.5,112,1645117,23.5,Karate Chop,Fire Punch,Return,5,9,5,75000
Kricketune,80.2,bug,none,127.7,88,155,1742826,38,Fury Cutter,X-Scissor,Bug Buzz,9,15,1,10000
Linoone,80.2,normal,none,114.6,112.2,152,1953755,39,Shadow Claw,Grass Knot,Thunder,7,8,1,10000
Bouffalant,80.1,normal,none,118.9,115.9,136,1873804,20,Mud Shot,Stomp,Megahorn,5,7,3,50000
Grotle (Shadow),80.1,grass,none,118.3,116.1,138,1895093,30.5,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Jellicent,80,water,ghost,106.7,124.3,157,2082451,24,Hex,Bubble Beam,Shadow Ball,4,5,3,50000
Rapidash,80,fire,none,134.7,110.9,111,1658326,22,Incinerate,Drill Run,Flame Charge,3,3,3,50000
Bayleef (Shadow),79.9,grass,none,105.6,141.6,141,2107468,49.5,Razor Leaf,Grass Knot,Ancient Power,13,12,3,10000
Whimsicott,79.8,grass,fairy,118.4,133.1,119,1875239,27.5,Charm,Grass Knot,Moonblast,9,10,1,10000
Marshtomp,79.7,water,ground,120.3,108.9,142,1860776,35,Mud Shot,Surf,Mud Bomb,5,5,3,10000
Genesect,79.6,bug,steel,141.1,111.7,100,1575465,16,Fury Cutter,X-Scissor,Magnet Bomb,9,12,20,100000
Vileplume (Shadow),79.6,grass,poison,129.1,110.9,121,1732053,22,Razor Leaf,Sludge Bomb,Petal Blizzard,13,17,3,50000
Moltres,79.5,fire,flying,136.3,102.6,117,1635633,16,Wing Attack,Sky Attack,Overheat,7,8,20,100000
Blastoise,79.4,water,none,111.5,140.7,127,1992357,22.5,Water Gun,Hydro Cannon,Ice Beam,14,19,3,10000
Carracosta,79.4,water,rock,121.8,127.9,118,1839109,21,Rock Throw,Body Slam,Surf,7,8,5,75000
Leavanny,79.4,bug,grass,131,109,120,1713215,22,Bug Bite,Leaf Blade,X-Scissor,12,12,1,10000
Politoed (Shadow),79.4,water,none,114.7,121.7,140,1954251,23,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Eelektross,79.2,electric,none,134.4,98,127,1672478,20,Spark,Dragon Claw,Thunderbolt,5,7,1,10000
Servine,79.2,grass,none,107.2,137.4,142,2092314,49.5,Vine Whip,Grass Knot,Leaf Tornado,7,5,3,10000
Ampharos (Shadow),78.9,electric,none,127.4,106.8,129,1754935,19.5,Volt Switch,Thunder Punch,Focus Blast,3,5,5,75000
Dwebble,78.9,bug,rock,111.8,120.2,127,1705533,50,Smack Down,X-Scissor,Rock Blast,5,5,1,10000
Empoleon,78.9,water,steel,125.8,115.9,122,1777988,19,Waterfall,Hydro Cannon,Drill Peck,5,5,3,10000
Grovyle,78.9,grass,none,137.4,101.7,117,1633904,37.5,Bullet Seed,Leaf Blade,Aerial Ace,3,4,3,10000
Luxio (Shadow),78.9,electric,none,134.1,89.1,139,1661818,45.5,Spark,Wild Charge,Crunch,6,6,5,75000
Swellow,78.9,normal,flying,136.7,98.6,121,1630044,29,Wing Attack,Brave Bird,Sky Attack,8,7,1,10000
Porygon2,78.8,normal,none,123.7,115.7,127,1816950,21,Lock On,Tri Attack,Zap Cannon,10,16,3,50000
Arcanine (Hisuian),78.7,fire,rock,132.4,100,127,1682540,17.5,Snarl,Wild Charge,Rock Slide,4,4,3,50000
Flareon,78.7,fire,none,141.7,110,100,1557872,18,Fire Spin,Superpower,Flamethrower,4,6,5,75000
Ledian,78.5,bug,flying,101.9,161.2,134,2201440,49,Bug Bite,Aerial Ace,Bug Buzz,15,20,1,10000
Raticate (Alolan) (Shadow),78.5,dark,normal,107.5,130.7,148,2078413,37,Quick Attack,Crunch,Hyper Fang,7,8,1,10000
Arcanine,78.4,fire,none,132.7,104,122,1683972,18.5,Snarl,Wild Charge,Flamethrower,4,5,3,50000
Arcanine (Shadow),78.3,fire,none,132.7,104,122,1683972,18.5,Snarl,Wild Charge,Flamethrower,4,5,3,50000
Cherrim (Sunshine),78.3,grass,none,122.9,115.2,129,1826290,27,Bullet Seed,Weather Ball (Fire),Solar Beam,3,7,1,10000
Minun,78.3,electric,none,116.8,126.8,129,1909761,37,Spark,Discharge,Grass Knot,6,7,3,50000
Typhlosion,78.3,fire,none,132.2,108.3,117,1674892,19,Incinerate,Blast Burn,Solar Beam,3,4,3,10000
Darumaka,78.2,fire,none,132,83.5,154,1697707,49,Fire Fang,Fire Punch,Flame Charge,8,10,3,50000
Ho-Oh (Shadow),78.2,fire,flying,123.6,128.2,114,1806501,14.5,Incinerate,Brave Bird,Sacred Fire,3,4,20,100000
Kingdra (Shadow),78.1,water,dragon,121.8,126.1,119,1828072,21,Dragon Breath,Outrage,Octazooka,20,17,3,50000
Tapu Fini,78.1,water,fairy,115.3,155.3,108,1934126,20,Water Gun,Surf,Moonblast,14,20,20,100000
Vikavolt,78.1,bug,electric,146.4,94.4,111,1534869,17.5,Spark,X-Scissor,Discharge,5,6,1,10000
Houndoom,78,dark,fire,140.8,94.9,119,1589764,21,Snarl,Crunch,Flamethrower,4,5,3,50000
Manectric,78,electric,none,142.5,91.3,120,1561030,23.5,Snarl,Wild Charge,Overheat,4,5,3,50000
Dunsparce,77.9,normal,none,104.8,111,183,2127733,37.5,Bite,Rock Slide,Drill Run,23,23,3,50000
Omastar,77.9,rock,water,126.1,128.4,109,1764728,20,Mud Shot,Rock Slide,Rock Blast,5,5,5,75000
Electabuzz,77.8,electric,none,130.9,112.6,115,1694299,24,Thunder Shock,Thunder Punch,Return,5,8,5,75000
Bayleef,77.6,grass,none,105.6,141.6,141,2107468,49.5,Razor Leaf,Grass Knot,Ancient Power,13,12,3,10000
Porygon2 (Shadow),77.6,normal,none,123.7,115.7,127,1816950,21,Lock On,Tri Attack,Zap Cannon,10,16,3,50000
Combusken,77.5,fire,fighting,131,99.6,131,1710523,39,Ember,Rock Slide,Flame Charge,8,9,3,10000
Gloom,77.5,grass,poison,122.6,114.9,130,1830873,37.5,Razor Leaf,Sludge Bomb,Petal Blizzard,13,17,3,50000
Gastrodon,77.4,water,ground,114.4,102.5,167,1957876,24.5,Mud Slap,Body Slam,Earth Power,5,7,3,50000
Scizor (Shadow),77.4,bug,steel,137.9,110.3,106,1612512,18.5,Bullet Punch,Night Slash,Iron Head,5,8,5,75000
Charmeleon (Shadow),77.3,fire,none,127.1,109.1,127,1760642,39,Ember,Fire Punch,Flamethrower,7,10,3,10000
Dustox,77.3,bug,poison,95,148.7,142,2005436,50,Confusion,Sludge Bomb,Bug Buzz,5,5,1,10000
Armaldo,77.2,rock,bug,133.3,110.9,113,1670643,19.5,Fury Cutter,Cross Poison,Rock Blast,9,10,3,50000
Grotle,77.2,grass,none,118.3,116.1,138,1895093,30.5,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Leafeon,77.1,grass,none,128.1,133.3,102,1742118,18.5,Bullet Seed,Leaf Blade,Last Resort,3,5,5,75000
Politoed,77.1,water,none,114.7,121.7,140,1954251,23,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Alomomola,77,water,none,96.7,98.8,240,2292831,26,Waterfall,Psychic,Hydro Pump,7,10,5,75000
Tranquill,77,normal,flying,124,101.4,143,1797495,49.5,Air Slash,Sky Attack,Aerial Ace,5,5,1,10000
