Pokemon,Score,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,Fast Move,Charged Move 1,Charged Move 2
Zebstrika,90.1,electric,none,138.4,94.2,123,1602957,23,Spark,Wild Charge,Flame Charge
Diggersby,89.9,normal,ground,98.8,133.6,168,2216614,40,Mud Shot,Fire Punch,Earthquake
Machoke (Shadow),89.8,fighting,none,128.9,98.1,137,1731952,27.5,Karate Chop,Cross Chop,Dynamic Punch
Perrserker,89.8,steel,none,130.8,110.1,119,1713702,23.5,Shadow Claw,Close Combat,Foul Play
Bellossom (Shadow),89.7,grass,none,115.1,130.3,128,1918300,24.5,Bullet Seed,Leaf Blade,Dazzling Gleam
Magnezone (Shadow),89.7,electric,steel,136.6,121.2,99,1638649,17,Spark,Wild Charge,Mirror Shot
Hitmontop,89.4,fighting,none,123.3,147.8,100,1822396,26,Counter,Close Combat,Stone Edge
Sealeo (Shadow),89.4,ice,water,110.1,110.1,168,2035980,35.5,Powder Snow,Body Slam,Aurora Beam
Quagsire,89.3,water,ground,111.7,111.7,159,1983389,28,Mud Shot,Earthquake,Stone Edge
Azumarill (XL),89.2,water,fairy,94.4,133.7,188,2372805,42,Bubble,Ice Beam,Hydro Pump
Bellossom,89.2,grass,none,115.1,130.3,128,1918300,24.5,Bullet Seed,Leaf Blade,Return
Castform (Snowy),89.2,ice,none,114.2,118.9,144,1955147,39.5,Powder Snow,Weather Ball (Ice),Blizzard
Magnezone,89.2,electric,steel,136.6,121.2,99,1638649,17,Spark,Wild Charge,Mirror Shot
Suicune,89.2,water,none,106.9,141.3,137,2069442,18.5,Snarl,Bubble Beam,Hydro Pump
Marshtomp (Shadow),89.1,water,ground,122.2,108,139,1834048,33,Mud Shot,Surf,Mud Bomb
Farfetchd (Galarian),88.9,fighting,none,137.9,99.4,117,1603044,36.5,Fury Cutter,Leaf Blade,Brave Bird
Quagsire (Shadow),88.9,water,ground,111.7,111.7,159,1983389,28,Mud Shot,Earthquake,Stone Edge
Escavalier,88.8,bug,steel,135.1,118,104,1657440,19.5,Counter,Drill Run,Megahorn
Galvantula,88.8,bug,electric,138.3,94.8,122,1599873,25,Volt Switch,Discharge,Lunge
Arcanine (Shadow),88.7,fire,none,133.2,100.3,125,1670095,18,Snarl,Wild Charge,Flamethrower
Blaziken,88.7,fire,fighting,145,89.7,118,1534137,19,Counter,Blaze Kick,Stone Edge
Snorlax (Shadow),88.7,normal,none,107.4,100.2,190,2045672,17,Lick,Body Slam,Superpower
Dragonite (Shadow),88.5,dragon,flying,137.3,105.3,112,1619864,14.5,Dragon Breath,Dragon Claw,Hurricane
Electivire,88.4,electric,none,144,98,109,1538496,18,Thunder Shock,Ice Punch,Wild Charge
Mantine,88.4,water,flying,106.9,163.1,120,2092515,27,Bubble,Bubble Beam,Ice Beam
Toxicroak,88.4,poison,fighting,136.6,92.1,129,1622926,22,Counter,Mud Bomb,Sludge Bomb
Beedrill (Shadow),88.2,bug,poison,128.6,103.6,130,1731686,30.5,Poison Jab,X-Scissor,Drill Run
Lickitung (XL),88,normal,none,98.3,124.4,186,2274203,50,Lick,Body Slam,Power Whip
Sableye (Shadow),87.9,dark,ghost,123.3,119.3,120,1765496,40,Shadow Claw,Foul Play,Shadow Sneak
Sirfetchd,87.9,fighting,none,145.9,108.6,96,1521428,18.5,Counter,Leaf Blade,Night Slash
Articuno,87.8,ice,flying,113.2,142.5,122,1967716,18.5,Ice Shard,Icy Wind,Hurricane
Azumarill,87.8,water,fairy,97.4,128.5,184,2302564,38,Bubble,Ice Beam,Hydro Pump
Dewgong,87.8,water,ice,102.7,136.2,154,2154277,28.5,Ice Shard,Icy Wind,Water Pulse
Hitmonchan (Shadow),87.8,fighting,none,130.2,135.3,97,1708843,23.5,Counter,Ice Punch,Thunder Punch
Regirock,87.8,rock,none,105.4,180.2,112,2127885,18,Lock On,Stone Edge,Focus Blast
Tropius,87.8,grass,flying,102.2,125.9,169,2173466,29,Air Slash,Leaf Blade,Aerial Ace
Vigoroth,87.8,normal,none,115.9,113.1,144,1888091,28,Counter,Body Slam,Bulldoze
Cresselia,87.7,psychic,none,93.8,157.5,161,2378336,19.5,Psycho Cut,Grass Knot,Moonblast
Golbat (Shadow),87.7,poison,flying,119.5,115.2,136,1872017,28,Wing Attack,Poison Fang,Shadow Ball
Kingler,87.5,water,none,145.7,111.5,94,1526953,19.5,Mud Shot,Crabhammer,X-Scissor
Melmetal,87.5,steel,none,122.1,105.5,142,1830093,15,Thunder Shock,Superpower,Rock Slide
Ninetales (Shadow),87.5,fire,none,116.2,130.9,126,1917092,25,Fire Spin,Weather Ball (Fire),Psyshock
Chesnaught,87.4,grass,fighting,118.9,124.7,125,1853637,18.5,Vine Whip,Superpower,Energy Ball
Cradily,87.4,rock,grass,105.9,141,140,2090467,25.5,Bullet Seed,Stone Edge,Grass Knot
Deoxys (Defense),87.4,psychic,none,101.7,221.5,97,2184166,23.5,Counter,Psycho Boost,Thunderbolt
Lapras (Shadow),87.4,water,ice,106.5,110.9,179,2114378,21.5,Ice Shard,Surf,Skull Bash
Roserade,87.4,grass,poison,145.4,109.7,97,1547427,18.5,Bullet Seed,Weather Ball (Fire),Grass Knot
Dugtrio,87.1,ground,none,139.7,117.2,97,1587879,37.5,Mud Shot,Mud Bomb,Stone Edge
Poliwrath,87.1,water,fighting,117.7,120.8,134,1904764,21.5,Mud Shot,Dynamic Punch,Ice Punch
Machoke,87,fighting,none,128.9,98.1,137,1731952,27.5,Karate Chop,Cross Chop,Dynamic Punch
Magmar (Shadow),87,fire,none,135.2,105.7,114,1628984,23,Karate Chop,Fire Punch,Flamethrower
Marowak (Alolan),86.5,fire,ghost,111.4,145.3,124,2007734,31,Fire Spin,Shadow Bone,Bone Club
Tangrowth,86.5,grass,none,122.4,112.2,133,1827093,18,Vine Whip,Power Whip,Rock Slide
Skarmory,86.4,steel,flying,106.9,163.1,120,2092515,27,Air Slash,Brave Bird,Sky Attack
Lapras,86.3,water,ice,106.5,110.9,179,2114378,21.5,Ice Shard,Surf,Skull Bash
Dragonair (Shadow),86.1,dragon,none,126,111.7,125,1758941,33,Dragon Breath,Aqua Tail,Dragon Pulse
Raikou,86.1,electric,none,132,109.9,116,1683273,15.5,Thunder Shock,Wild Charge,Shadow Ball
Dragonite,86,dragon,flying,137.3,105.3,112,1619864,14.5,Dragon Breath,Dragon Claw,Hurricane
Ninetales (Alolan),86,ice,fairy,115.9,134.7,123,1920479,23.5,Powder Snow,Weather Ball (Ice),Psyshock
Pinsir,85.8,bug,none,141.9,113.2,98,1574251,18.5,Fury Cutter,Close Combat,X-Scissor
Altaria,85.6,dragon,flying,104.1,149.8,137,2136376,28.5,Dragon Breath,Sky Attack,Dragon Pulse
Hariyama,85.6,fighting,none,126.8,74.9,184,1748232,19.5,Counter,Close Combat,Heavy Slam
Cradily (Shadow),85.5,rock,grass,105.9,141,140,2090467,25.5,Bullet Seed,Stone Edge,Grass Knot
Castform,85.4,normal,none,114.2,118.9,144,1955147,39.5,Hex,Weather Ball (Normal),Energy Ball
Prinplup,85.4,water,none,119.8,116.8,133,1860925,37,Bubble,Icy Wind,Hydro Pump
Hitmonchan,85.2,fighting,none,130.2,135.3,97,1708843,23.5,Counter,Ice Punch,Thunder Punch
Houndoom (Shadow),85.2,dark,fire,141.4,93.7,119,1576073,21,Snarl,Crunch,Flamethrower
Mandibuzz,85.2,dark,flying,92.8,148.5,174,2399472,26.5,Snarl,Foul Play,Aerial Ace
Articuno (Shadow),85.1,ice,flying,113.2,142.5,122,1967716,18.5,Ice Shard,Icy Wind,Hurricane
Gyarados (Shadow),85.1,water,flying,132,105.3,122,1695047,16,Dragon Breath,Aqua Tail,Crunch
Skarmory (Shadow),85.1,steel,flying,106.9,163.1,120,2092515,27,Air Slash,Brave Bird,Sky Attack
Muk (Alolan),85,poison,dark,118.3,111.7,143,1889615,20,Snarl,Dark Pulse,Sludge Wave
Obstagoon,85,dark,normal,113.2,124.9,138,1951673,21,Counter,Night Slash,Gunk Shot
Castform (Sunny),84.9,fire,none,114.2,118.9,144,1955147,39.5,Ember,Weather Ball (Fire),Solar Beam
Quilladin,84.9,grass,none,116.8,131.4,125,1918246,37,Vine Whip,Body Slam,Energy Ball
Beedrill,84.7,bug,poison,128.6,103.6,130,1731686,30.5,Poison Jab,X-Scissor,Drill Run
Latios,84.7,dragon,psychic,140.5,112.5,101,1595527,14,Dragon Breath,Dragon Claw,Psychic
Grovyle,84.6,grass,none,138.4,100.1,117,1620128,38.5,Bullet Seed,Leaf Blade,Aerial Ace
Gyarados,84.6,water,flying,132,105.3,122,1695047,16,Dragon Breath,Aqua Tail,Crunch
Umbreon,84.6,dark,none,90.6,172.3,157,2451187,26,Snarl,Foul Play,Last Resort
Jumpluff (Shadow),84.5,grass,flying,97.7,152.4,153,2279378,38.5,Bullet Seed,Aerial Ace,Energy Ball
Golduck (Shadow),84.2,water,none,125.6,110.2,128,1771088,23,Water Gun,Cross Chop,Ice Beam
Magmortar (Shadow),84.2,fire,none,140.8,102.8,108,1563877,17.5,Karate Chop,Fire Punch,Thunderbolt
Raichu,84.2,electric,none,135.6,108.9,112,1653365,25,Volt Switch,Wild Charge,Thunder Punch
Ninetales,84.1,fire,none,116.2,130.9,126,1917092,25,Fire Spin,Weather Ball (Fire),Solar Beam
Sealeo,84.1,ice,water,110.1,110.1,168,2035980,35.5,Powder Snow,Body Slam,Aurora Beam
Snorlax,84.1,normal,none,107.4,100.2,190,2045672,17,Lick,Body Slam,Superpower
Dragonair,83.9,dragon,none,126,111.7,125,1758941,33,Dragon Breath,Aqua Tail,Wrap
Lanturn,83.9,water,electric,104.8,104.8,192,2109375,27,Spark,Thunderbolt,Hydro Pump
Marshtomp,83.9,water,ground,122.2,108,139,1834048,33,Mud Shot,Surf,Mud Bomb
Golbat,83.7,poison,flying,119.5,115.2,136,1872017,28,Wing Attack,Poison Fang,Shadow Ball
Mewtwo (Shadow),83.7,psychic,none,146.9,94.4,108,1497979,13,Psycho Cut,Psystrike,Thunderbolt
Stunfisk,83.3,ground,electric,102.9,126.7,167,2176261,26,Thunder Shock,Mud Bomb,Discharge
Empoleon,83.2,water,steel,125.8,114.7,122,1760119,19,Waterfall,Hydro Cannon,Drill Peck
Excadrill,83.2,ground,steel,143.2,77.7,139,1545908,17,Mud Shot,Drill Run,Rock Slide
Skuntank (Shadow),83.2,poison,dark,123,93.9,156,1802330,23.5,Poison Jab,Crunch,Sludge Bomb
Forretress,83.1,bug,steel,110.4,142.2,128,2009351,24.5,Bug Bite,Earthquake,Mirror Shot
Omastar (Shadow),83.1,rock,water,128.4,126.1,108,1748538,20,Mud Shot,Rock Slide,Rock Blast
Rapidash (Galarian),83.1,psychic,fairy,136.3,109.6,110,1643375,21.5,Psycho Cut,Body Slam,Play Rough
Regice,83.1,ice,none,105.4,180.2,112,2127885,18,Lock On,Blizzard,Earthquake
Registeel,83.1,steel,none,95.7,190.1,128,2328123,22.5,Lock On,Flash Cannon,Focus Blast
Jumpluff,83,grass,flying,97.7,152.4,153,2279378,38.5,Bullet Seed,Aerial Ace,Energy Ball
Vaporeon,83,water,none,117.9,97.8,162,1868082,17.5,Water Gun,Aqua Tail,Last Resort
Gligar (Shadow),82.8,ground,flying,109.9,146.8,126,2033533,31,Wing Attack,Night Slash,Dig
Sudowoodo,82.8,rock,none,116.7,128.2,126,1884689,25.5,Counter,Rock Slide,Earthquake
Heracross,82.7,bug,fighting,135.2,108.4,112,1642084,17.5,Counter,Close Combat,Megahorn
Gligar,82.6,ground,flying,109.9,146.8,126,2033533,31,Fury Cutter,Night Slash,Dig
Wobbuffet (XL),82.6,psychic,none,63,101.7,333,2133829,50,Counter,Return,Mirror Coat
Blastoise,82.5,water,none,112.8,137.8,127,1974395,22,Water Gun,Hydro Cannon,Ice Beam
Ferrothorn,82.5,grass,steel,108.8,154.1,123,2062431,23.5,Bullet Seed,Power Whip,Thunder
Lugia,82.3,psychic,flying,102.4,163.5,129,2160651,15,Extrasensory,Sky Attack,Aeroblast
Crustle,82.2,bug,rock,120.9,132.8,114,1831189,22,Fury Cutter,Rock Slide,X-Scissor
Lickilicky,82.1,normal,none,106.5,122.8,160,2092956,22,Lick,Body Slam,Shadow Ball
Lickitung,82.1,normal,none,97.2,120.1,175,2043482,40,Lick,Body Slam,Power Whip
Sandshrew (Alolan XL),82.1,ice,steel,117.6,121,127,1807853,50,Powder Snow,Night Slash,Blizzard
Blastoise (Shadow),82,water,none,112.8,137.8,127,1974395,22,Water Gun,Hydro Cannon,Ice Beam
Linoone,82,normal,none,114.9,109.5,154,1937075,38.5,Shadow Claw,Grass Knot,Thunder
Gallade,81.8,psychic,fighting,137.2,115.6,102,1617468,18,Confusion,Close Combat,Leaf Blade
Gallade (Shadow),81.8,psychic,fighting,137.2,115.6,102,1617468,18,Confusion,Close Combat,Leaf Blade
Piloswine (Shadow),81.7,ice,ground,122.4,97.5,153,1825800,24,Powder Snow,Avalanche,Bulldoze
Alakazam,81.6,psychic,none,158.1,98,91,1410853,18,Counter,Fire Punch,Shadow Ball
Carnivine,81.4,grass,none,132.2,101.9,126,1696965,25.5,Vine Whip,Power Whip,Crunch
Ivysaur (Shadow),81.4,grass,poison,120,119.3,129,1846516,35.5,Vine Whip,Power Whip,Sludge Bomb
Munchlax,81.3,normal,none,104.6,93.7,218,2136331,30,Lick,Body Slam,Bulldoze
Moltres (Shadow),81.2,fire,flying,138.4,103.7,113,1621207,16,Fire Spin,Sky Attack,Overheat
Muk (Shadow),81.2,poison,none,118.3,111.7,143,1889615,20,Poison Jab,Thunder Punch,Dark Pulse
Piloswine,81.2,ice,ground,122.4,97.5,153,1825800,24,Powder Snow,Avalanche,Bulldoze
Skuntank,81.1,poison,dark,123,93.9,156,1802330,23.5,Poison Jab,Crunch,Sludge Bomb
Manectric,80.8,electric,none,142.5,92,118,1545899,23.5,Snarl,Wild Charge,Flame Burst
Electabuzz (Shadow),80.7,electric,none,132.9,113.2,111,1669548,24,Thunder Shock,Thunder Punch,Thunderbolt
Exeggutor (Shadow),80.7,grass,psychic,136.6,92.9,128,1625028,18,Bullet Seed,Seed Bomb,Psychic
Cloyster,80.6,water,ice,121.2,165.9,92,1849900,21,Ice Shard,Icy Wind,Hydro Pump
Electabuzz,80.4,electric,none,132.9,113.2,111,1669548,24,Thunder Shock,Thunder Punch,Return
Cloyster (Shadow),80.3,water,ice,121.2,165.9,92,1849900,21,Ice Shard,Icy Wind,Hydro Pump
Forretress (Shadow),80.3,bug,steel,110.4,142.2,128,2009351,24.5,Bug Bite,Earthquake,Mirror Shot
Haxorus,80.3,dragon,none,152,96.2,100,1462937,15.5,Counter,Dragon Claw,Night Slash
Simisage,80.3,grass,none,138.7,92.3,126,1613093,24,Vine Whip,Grass Knot,Crunch
Darmanitan (Standard),80.2,fire,none,150.9,71.5,136,1467821,17.5,Incinerate,Rock Slide,Overheat
Moltres,80.2,fire,flying,138.4,103.7,113,1621207,16,Fire Spin,Sky Attack,Overheat
Scolipede,80.2,bug,poison,133.3,116,108,1668827,23,Poison Jab,X-Scissor,Sludge Bomb
Krookodile,80.1,ground,dark,132.6,96.3,130,1661109,18,Snarl,Crunch,Earthquake
Noctowl,80.1,normal,flying,106.7,115.9,169,2091241,28,Wing Attack,Sky Attack,Psychic
Servine,80.1,grass,none,108.3,132,134,1914811,40,Vine Whip,Grass Knot,Leaf Tornado
Arcanine,79.9,fire,none,133.2,100.3,125,1670095,18,Snarl,Wild Charge,Flamethrower
Crawdaunt,79.9,water,dark,146,97.7,107,1526861,22,Snarl,Night Slash,Crabhammer
Feraligatr,79.9,water,none,124.5,119.7,120,1788540,19.5,Water Gun,Hydro Cannon,Crunch
Emolga,79.8,electric,flying,128.1,110.2,123,1735695,37.5,Thunder Shock,Discharge,Aerial Ace
Scizor (Shadow),79.8,bug,steel,137.7,110.5,105,1598160,18,Bullet Punch,Night Slash,Iron Head
Venomoth (Shadow),79.8,bug,poison,128.9,104.4,129,1735654,27.5,Infestation,Poison Fang,Bug Buzz
Dusclops (Shadow),79.7,ghost,none,106.3,191.7,103,2099186,37.5,Hex,Shadow Punch,Ice Punch
Genesect,79.7,bug,steel,140,114.4,98,1568916,16,Fury Cutter,X-Scissor,Magnet Bomb
Hypno,79.7,psychic,none,104.8,143.7,142,2138624,27,Confusion,Shadow Ball,Thunder Punch
Qwilfish,79.7,water,poison,131.9,103.4,123,1677814,27,Poison Sting,Aqua Tail,Sludge Wave
Porygon2 (Shadow),79.5,normal,none,123.4,116.7,125,1800342,20.5,Lock On,Tri Attack,Zap Cannon
Serperior,79.5,grass,none,109.9,142.7,128,2007750,24,Vine Whip,Grass Knot,Aerial Ace
Houndoom,79.4,dark,fire,141.4,93.7,119,1576073,21,Snarl,Crunch,Flamethrower
Ludicolo,79.4,water,grass,117.2,122.4,132,1893662,23.5,Bubble,Energy Ball,Ice Beam
Magmortar,79.4,fire,none,140.8,102.8,108,1563877,17.5,Karate Chop,Fire Punch,Thunderbolt
Steelix,79.4,steel,ground,100.1,181.9,123,2239452,22.5,Dragon Tail,Earthquake,Crunch
Gardevoir (Shadow),79.3,psychic,fairy,137.2,115.6,102,1617468,18,Charm,Synchronoise,Shadow Ball
Golem (Alolan),79.3,rock,electric,126.4,120.7,116,1769231,18.5,Volt Switch,Wild Charge,Rock Blast
Ivysaur,79.3,grass,poison,120,119.3,129,1846516,35.5,Vine Whip,Power Whip,Sludge Bomb
Ho-Oh,79.2,fire,flying,124.6,127.2,113,1791064,14.5,Incinerate,Brave Bird,Earthquake
Luxio,79.2,electric,none,137.5,86.9,134,1601883,40,Spark,Wild Charge,Crunch
Milotic,79.2,water,none,113.2,132.7,130,1953018,18.5,Waterfall,Surf,Blizzard
Luxray,78.9,electric,none,138,97.2,119,1596886,19,Spark,Wild Charge,Crunch
Sandslash (Alolan),78.9,ice,steel,117.9,132,122,1897975,23,Powder Snow,Ice Punch,Bulldoze
Dewott,78.8,water,none,125.2,98.2,145,1783206,33,Fury Cutter,Aqua Tail,X-Scissor
Drifloon,78.8,ghost,flying,104.3,75.1,175,1370628,40,Hex,Icy Wind,Shadow Ball
Mamoswine (Shadow),78.8,ice,ground,137.9,85.5,137,1614801,16,Powder Snow,Avalanche,Bulldoze
Vespiquen,78.8,bug,flying,110.5,143.3,128,2028256,28.5,Fury Cutter,X-Scissor,Power Gem
Magneton (Shadow),78.7,electric,steel,144.1,114.7,93,1536728,22,Thunder Shock,Magnet Bomb,Discharge
Swellow,78.7,normal,flying,136.9,99.1,119,1615281,28.5,Wing Attack,Brave Bird,Sky Attack
Mamoswine,78.5,ice,ground,137.9,85.5,137,1614801,16,Powder Snow,Avalanche,Bulldoze
Typhlosion,78.5,fire,none,135.1,106.8,115,1658635,19.5,Incinerate,Blast Burn,Solar Beam
Exeggutor (Alolan),78.4,grass,dragon,135,96,127,1645404,18.5,Bullet Seed,Seed Bomb,Dragon Pulse
Glalie,78.4,ice,none,116.2,119.7,138,1919084,26.5,Ice Shard,Avalanche,Shadow Ball
Huntail,78.4,water,none,132.2,121.1,105,1680530,24,Water Gun,Aqua Tail,Crunch
Seismitoad,78.4,water,ground,121.6,99.6,152,1840677,22,Mud Shot,Earth Power,Sludge Bomb
Gastrodon (East),78.3,water,ground,115.2,101.4,166,1939485,24,Mud Slap,Body Slam,Earth Power
Gastrodon (West),78.3,water,ground,115.2,101.4,166,1939485,24,Mud Slap,Body Slam,Earth Power
Gurdurr,78.3,fighting,none,126.7,98.8,141,1764431,26,Poison Jab,Brick Break,Stone Edge
Graveler (Alolan),78.2,rock,electric,121.6,128.8,115,1800435,29,Volt Switch,Stone Edge,Rock Blast
Linoone (Galarian),78.2,dark,normal,114.9,109.5,154,1937075,38.5,Snarl,Body Slam,Gunk Shot
Rotom (Wash),78.2,electric,water,131,141.6,92,1705995,22,Thunder Shock,Thunderbolt,Hydro Pump
Alakazam (Shadow),77.9,psychic,none,158.1,98,91,1410853,18,Counter,Fire Punch,Shadow Ball
Alomomola,77.9,water,none,98.5,98.5,234,2269817,25.5,Waterfall,Psychic,Hydro Pump
Banette,77.9,ghost,none,145.9,91.6,113,1510933,24,Shadow Claw,Shadow Ball,Thunder
Probopass,77.9,rock,steel,98.1,202.5,114,2263603,27.5,Spark,Rock Slide,Thunderbolt
Raichu (Alolan),77.9,electric,psychic,136.2,111.7,107,1628654,24.5,Volt Switch,Wild Charge,Grass Knot
Wigglytuff,77.8,normal,fairy,117.3,75.5,215,1904387,29,Charm,Ice Beam,Play Rough
Klinklang,77.6,steel,none,126.4,141.2,99,1766641,21.5,Thunder Shock,Mirror Shot,Flash Cannon
Wailmer,77.6,water,none,119.3,65.6,230,1800391,40,Water Gun,Body Slam,Heavy Slam
Wailord,77.6,water,none,118.5,66.8,235,1858149,24,Water Gun,Surf,Blizzard
Bastiodon (XL),77.5,rock,steel,81.8,244.5,137,2739618,45.5,Smack Down,Stone Edge,Flamethrower
Kabutops,77.5,rock,water,137.3,117.3,101,1627071,20.5,Mud Shot,Stone Edge,Ancient Power
Shelgon,77.5,dragon,none,125.6,118,120,1779129,27,Dragon Breath,Flamethrower,Twister
Venomoth,77.4,bug,poison,128.9,104.4,129,1735654,27.5,Infestation,Poison Fang,Bug Buzz
Magneton,77.3,electric,steel,144.1,114.7,93,1536728,22,Thunder Shock,Discharge,Magnet Bomb
Bisharp,77.1,dark,steel,139.8,107.9,105,1584629,19.5,Snarl,Dark Pulse,X-Scissor
Probopass (Shadow),77,rock,steel,98.1,202.5,114,2263603,27.5,Spark,Rock Slide,Thunderbolt
Infernape,76.8,fire,fighting,138,98.6,118,1605123,20,Fire Spin,Close Combat,Blast Burn
Weavile (Shadow),76.8,dark,ice,143.4,104.3,104,1555112,18,Snarl,Avalanche,Foul Play
Greninja,76.6,water,dark,141,99.8,113,1589415,20,Bubble,Night Slash,Surf
Chandelure,76.5,ghost,fire,153.7,106.9,89,1461411,17,Incinerate,Flame Charge,Shadow Ball
Charmeleon (Shadow),76.5,fire,none,128.8,106.7,127,1745457,40,Ember,Fire Punch,Flamethrower
Bibarel,76.4,normal,water,125.4,95.9,149,1792338,31,Water Gun,Surf,Hyper Fang
