"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Shadow Salamence","Dragon Tail","Fire Blast","18.496","452.2","2861","3749"
"Shadow Charizard","Wing Attack","Blast Burn","18.971","414.6","2830.5","2889"
"Shadow Exeggutor","Confusion","Psychic","18.949","415.1","2824.6","3014"
"Shadow Weavile","Feint Attack","Avalanche","19.319","388.6","2802.2","3005"
"Shadow Dragonite","Steel Wing","Dragon Pulse","17.8","491.2","2770.2","3792"
"Shadow Tyranitar","Smack Down","Stone Edge","17.314","533.5","2769.2","3834"
"Shadow Exeggutor","Extrasensory","Psychic","18.838","412.7","2759.3","3014"
"Shadow Dragonite","Dragon Breath","Hyper Beam","17.767","490.2","2749.7","3792"
"Shadow Raikou","Volt Switch","Thunderbolt","17.852","481.3","2738.6","3452"
"Shadow Gallade","Confusion","Psychic","18.684","417.5","2722.9","3093"
"Shadow Gardevoir","Confusion","Psychic","18.684","417.5","2722.9","3093"
"Shadow Magnezone","Charge Beam","Wild Charge","18.385","437.4","2718.1","3205"
"Shadow Tyranitar","Bite","Crunch","17.214","530.4","2705.5","3834"
"Shadow Tyranitar","Smack Down","Crunch","17.211","530.3","2703.9","3834"
"Shadow Entei","Fire Fang","Fire Blast","17.502","500.8","2684.9","3473"
"Shadow Weavile","Snarl","Foul Play","19.061","383.4","2655.1","3005"
"Shadow Zapdos","Thunder Shock","Zap Cannon","17.861","458.6","2612.9","3527"
"Shadow Moltres","Fire Spin","Fire Blast","17.924","451","2597.3","3465"
"Shadow Electivire","Low Kick","Wild Charge","18.895","381.2","2571.7","3079"
"Shadow Gardevoir","Charm","Psychic","18.397","411.1","2559.9","3093"
"Shadow Charizard","Air Slash","Blast Burn","18.445","403.1","2529.6","2889"
"Shadow Alakazam","Confusion","Shadow Ball","19.654","333","2528.3","3057"
"Shadow Charizard","Ember","Blast Burn","18.422","402.6","2517.1","2889"
"Shadow Torterra","Razor Leaf","Frenzy Plant","17.401","471.9","2486.4","2934"
"Shadow Gardevoir","Confusion","Dazzling Gleam","18.237","407.5","2471.9","3093"
"Shadow Venusaur","Vine Whip","Frenzy Plant","17.869","432.2","2465.8","2720"
"Shadow Dragonite","Steel Wing","Hurricane","17.275","476.7","2457.6","3792"
"Shadow Entei","Fire Spin","Fire Blast","17.069","488.4","2428.6","3473"
"Shadow Exeggutor","Zen Headbutt","Psychic","18.216","399.1","2412.2","3014"
"Shadow Exeggutor","Confusion","Solar Beam","18.212","399","2409.9","3014"
"Shadow Weavile","Ice Shard","Avalanche","18.602","374.2","2408.3","3005"
"Shadow Salamence","Fire Fang","Hydro Pump","17.662","431.8","2379","3749"
"Shadow Gallade","Low Kick","Psychic","18.062","403.6","2378.3","3093"
"Shadow Raikou","Thunder Shock","Shadow Ball","17.229","464.5","2375.4","3452"
"Shadow Exeggutor","Extrasensory","Solar Beam","18.135","397.3","2369.6","3014"
"Shadow Gardevoir","Charm","Dazzling Gleam","18.027","402.8","2359.8","3093"
"Shadow Machamp","Bullet Punch","Dynamic Punch","17.996","402","2343.1","3056"
"Shadow Gyarados","Waterfall","Hydro Pump","17.122","459.7","2307.6","3391"
"Shadow Alakazam","Confusion","Future Sight","19.188","325.2","2297.3","3057"
"Shadow Gallade","Confusion","Synchronoise","17.864","399.2","2275.6","3093"
"Shadow Gardevoir","Confusion","Synchronoise","17.864","399.2","2275.6","3093"
"Shadow Charizard","Dragon Breath","Blast Burn","17.954","392.4","2270.7","2889"
"Shadow Arcanine","Fire Fang","Flamethrower","17.657","410.3","2258.5","3029"
"Shadow Alakazam","Psycho Cut","Shadow Ball","19.104","323.7","2257.3","3057"
"Shadow Weavile","Feint Attack","Foul Play","18.289","367.9","2250.3","3005"
"Shadow Porygon-Z","Lock-On","Tri-Attack","18.235","370.6","2247.1","3266"
"Shadow Porygon-Z","Lock-On","Hyper Beam","18.217","370.3","2238.3","3266"
"Shadow Raikou","Volt Switch","Shadow Ball","16.963","457.3","2232.4","3452"
"Shadow Dragonite","Steel Wing","Hyper Beam","16.818","464","2207.5","3792"
"Shadow Exeggutor","Bullet Seed","Psychic","17.798","389.9","2198.4","3014"
"Shadow Alakazam","Counter","Shadow Ball","18.942","321","2181.5","3057"
"Shadow Gardevoir","Charm","Synchronoise","17.659","394.6","2172.8","3093"
"Shadow Tyranitar","Iron Tail","Crunch","16.29","501.9","2169.7","3834"
"Shadow Torterra","Bite","Frenzy Plant","16.774","454.9","2147.2","2934"
"Shadow Moltres","Wing Attack","Fire Blast","17.089","430","2146.3","3465"
"Shadow Gyarados","Waterfall","Aqua Tail","16.81","451.4","2144","3391"
"Shadow Tyranitar","Smack Down","Fire Blast","16.2","499.2","2122.1","3834"
"Shadow Magmortar","Fire Spin","Fire Punch","17.771","376.7","2113.9","3132"
"Shadow Tyranitar","Bite","Fire Blast","16.168","498.2","2105.6","3834"
"Shadow Arcanine","Fire Fang","Wild Charge","17.303","402.1","2083.1","3029"
"Shadow Magmortar","Fire Spin","Psychic","17.704","375.3","2082.5","3132"
"Shadow Alakazam","Psycho Cut","Future Sight","18.632","315.7","2042.3","3057"
"Shadow Zapdos","Charge Beam","Zap Cannon","16.775","430.7","2033.1","3527"
"Shadow Porygon-Z","Charge Beam","Tri-Attack","17.77","361.2","2026.8","3266"
"Shadow Exeggutor","Zen Headbutt","Solar Beam","17.42","381.7","2017.6","3014"
"Shadow Gardevoir","Confusion","Shadow Ball","17.328","387.2","2014.4","3093"
"Shadow Venusaur","Razor Leaf","Frenzy Plant","16.983","410.7","2012","2720"
"Shadow Metagross","Bullet Punch","Earthquake","16.254","468.3","2010.9","3791"
"Shadow Salamence","Fire Fang","Fire Blast","16.92","413.6","2003.5","3749"
"Shadow Charizard","Fire Spin","Overheat","17.388","380","1997.6","2889"
"Shadow Magmortar","Fire Spin","Fire Blast","17.518","371.3","1996.3","3132"
"Shadow Metagross","Bullet Punch","Flash Cannon","16.224","467.4","1996","3791"
"Shadow Machamp","Counter","Close Combat","17.273","385.9","1988.5","3056"
"Shadow Salamence","Bite","Hydro Pump","16.884","412.8","1986.8","3749"
"Shadow Gyarados","Dragon Tail","Hydro Pump","16.452","441.8","1967.2","3391"
"Shadow Mamoswine","Mud Slap","Bulldoze","16.925","405","1963.5","3328"
"Shadow Gyarados","Waterfall","Outrage","16.436","441.3","1959.7","3391"
"Shadow Gardevoir","Charge Beam","Psychic","17.207","384.5","1959.1","3093"
"Shadow Exeggutor","Confusion","Seed Bomb","17.29","378.8","1958","3014"
"Shadow Gardevoir","Charm","Shadow Ball","17.193","384.2","1952.5","3093"
"Shadow Zapdos","Thunder Shock","Thunder","16.59","426","1945.2","3527"
"Shadow Gallade","Low Kick","Synchronoise","17.174","383.8","1943.9","3093"
"Shadow Alakazam","Confusion","Dazzling Gleam","18.397","311.7","1941","3057"
"Shadow Gallade","Charm","Psychic","17.135","382.9","1926.3","3093"
"Shadow Machamp","Counter","Cross Chop","17.133","382.7","1924.9","3056"
"Shadow Metagross","Zen Headbutt","Earthquake","16.078","463.2","1924.9","3791"
"Shadow Houndoom","Fire Fang","Foul Play","18.075","325.8","1923.8","2635"
"Shadow Entei","Fire Fang","Iron Head","16.101","460.7","1922.8","3473"
"Shadow Porygon-Z","Hidden Power (Fire)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Fighting)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Water)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Flying)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Grass)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Poison)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Electric)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Ground)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Psychic)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Rock)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Ice)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Bug)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Dragon)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Ghost)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Dark)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Porygon-Z","Hidden Power (Steel)","Tri-Attack","17.534","356.4","1921","3266"
"Shadow Metagross","Zen Headbutt","Flash Cannon","16.041","462.1","1907.2","3791"
"Shadow Alakazam","Counter","Future Sight","18.282","309.8","1893","3057"
"Shadow Weavile","Ice Shard","Foul Play","17.486","351.7","1880.4","3005"
"Shadow Exeggutor","Extrasensory","Seed Bomb","17.074","374.1","1861.8","3014"
"Shadow Gyarados","Dragon Tail","Aqua Tail","16.221","435.6","1859.2","3391"
"Shadow Houndoom","Snarl","Foul Play","17.921","323","1858.8","2635"
"Shadow Moltres","Fire Spin","Heat Wave","16.471","414.5","1852","3465"
"Shadow Arcanine","Fire Fang","Fire Blast","16.791","390.2","1847.3","3029"
"Shadow Tyranitar","Iron Tail","Stone Edge","15.645","482.1","1846.1","3834"
"Shadow Banette","Shadow Claw","Shadow Ball","18.835","271.8","1816.5","2298"
"Shadow Gardevoir","Charge Beam","Dazzling Gleam","16.866","376.9","1808.3","3093"
"Shadow Porygon-Z","Charge Beam","Hyper Beam","17.249","350.6","1799.1","3266"
"Shadow Charizard","Fire Spin","Flamethrower","16.911","369.6","1787.4","2889"
"Shadow Gyarados","Bite","Hydro Pump","16.018","430.1","1767.7","3391"
"Shadow Gyarados","Dragon Breath","Hydro Pump","16.018","430.1","1767.7","3391"
"Shadow Magnezone","Spark","Zap Cannon","16.499","392.5","1763","3205"
"Shadow Charizard","Wing Attack","Overheat","16.851","368.2","1762","2889"
"Shadow Machamp","Counter","Heavy Slam","16.756","374.3","1761.1","3056"
"Shadow Gallade","Confusion","Leaf Blade","16.749","374.3","1758.7","3093"
"Shadow Machamp","Counter","Submission","16.74","373.9","1754.1","3056"
"Shadow Exeggutor","Bullet Seed","Solar Beam","16.807","368.2","1748.3","3014"
"Shadow Entei","Fire Spin","Iron Head","15.705","449.3","1740.4","3473"
"Shadow Arcanine","Snarl","Flamethrower","16.526","384","1733.3","3029"
"Shadow Mamoswine","Mud Slap","Stone Edge","16.388","392.2","1726.1","3328"
"Shadow Cacturne","Sucker Punch","Grass Knot","18.711","263.1","1723.3","2298"
"Shadow Ursaring","Counter","Hyper Beam","17.036","347.8","1719.3","2945"
"Shadow Gyarados","Dragon Tail","Outrage","15.906","427.1","1718.9","3391"
"Shadow Aerodactyl","Rock Throw","Rock Slide","16.97","350.1","1710.8","2783"
"Shadow Raikou","Thunder Shock","Thunder","15.856","427.5","1704.3","3452"
"Shadow Houndoom","Fire Fang","Flamethrower","17.521","315.8","1698.6","2635"
"Shadow Mismagius","Hex","Shadow Ball","17.072","339","1686.9","2615"
"Shadow Salamence","Bite","Fire Blast","16.204","396.1","1685.5","3749"
"Shadow Alakazam","Counter","Dazzling Gleam","17.755","300.9","1683.9","3057"
"Shadow Gyarados","Bite","Aqua Tail","15.824","424.9","1683.7","3391"
"Shadow Gyarados","Dragon Breath","Aqua Tail","15.824","424.9","1683.7","3391"
"Shadow Alakazam","Confusion","Focus Blast","17.752","300.8","1682.9","3057"
"Shadow Exeggutor","Zen Headbutt","Seed Bomb","16.639","364.5","1679.3","3014"
"Shadow Pinsir","Bug Bite","X-Scissor","16.943","343.6","1671.3","2959"
"Shadow Swampert","Water Gun","Surf","15.838","417.7","1659.4","2974"
"Shadow Alakazam","Psycho Cut","Dazzling Gleam","17.688","299.7","1658.9","3057"
"Shadow Magmortar","Karate Chop","Fire Punch","16.72","354.4","1656.6","3132"
"Shadow Porygon-Z","Hidden Power (Fire)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Fighting)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Water)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Flying)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Grass)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Poison)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Electric)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Ground)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Psychic)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Rock)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Ice)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Bug)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Dragon)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Ghost)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Dark)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Porygon-Z","Hidden Power (Steel)","Hyper Beam","16.892","343.3","1654.8","3266"
"Shadow Arcanine","Thunder Fang","Flamethrower","16.3","378.8","1640.2","3029"
"Shadow Ursaring","Shadow Claw","Hyper Beam","16.818","343.3","1633.2","2945"
"Shadow Machamp","Counter","Rock Slide","16.434","367.1","1629.3","3056"
"Shadow Houndoom","Snarl","Flamethrower","17.273","311.3","1604.3","2635"
"Shadow Arcanine","Snarl","Wild Charge","16.201","376.5","1601","3029"
"Shadow Gallade","Charm","Synchronoise","16.358","365.5","1600.1","3093"
"Shadow Gallade","Confusion","Close Combat","16.351","365.4","1597.3","3093"
"Shadow Snorlax","Lick","Hyper Beam","14.436","530","1594.4","3225"
"Shadow Scizor","Fury Cutter","X-Scissor","16.561","351","1594.3","3001"
"Shadow Torterra","Razor Leaf","Solar Beam","15.549","421.7","1585.4","2934"
"Shadow Magmortar","Karate Chop","Psychic","16.52","350.2","1578.8","3132"
"Shadow Machamp","Karate Chop","Close Combat","16.301","364.2","1577.5","3056"
"Shadow Gyarados","Bite","Outrage","15.569","418","1577.5","3391"
"Shadow Gyarados","Dragon Breath","Outrage","15.569","418","1577.5","3391"
"Shadow Victreebel","Acid","Leaf Blade","17.254","306.8","1576.1","2431"
"Shadow Ursaring","Metal Claw","Hyper Beam","16.669","340.3","1576.1","2945"
"Shadow Banette","Hex","Shadow Ball","18.164","262.2","1571","2298"
"Shadow Charizard","Air Slash","Overheat","16.352","357.3","1562.3","2889"
"Shadow Shiftry","Snarl","Leaf Blade","17.293","301.9","1561.5","2333"
"Shadow Pinsir","Fury Cutter","X-Scissor","16.657","337.8","1561.1","2959"
"Shadow Scizor","Fury Cutter","Iron Head","16.465","349","1557.7","3001"
"Shadow Porygon-Z","Lock-On","Solar Beam","16.632","338","1555.3","3266"
"Shadow Mismagius","Sucker Punch","Shadow Ball","16.7","331.7","1544.7","2615"
"Shadow Charizard","Wing Attack","Flamethrower","16.287","355.9","1537.7","2889"
"Shadow Machamp","Counter","Payback","16.192","361.7","1535.7","3056"
"Shadow Venusaur","Vine Whip","Solar Beam","15.869","383.8","1533.9","2720"
"Shadow Machamp","Karate Chop","Cross Chop","16.184","361.5","1532.7","3056"
"Shadow Blastoise","Water Gun","Hydro Cannon","15.554","405.4","1525.4","2466"
"Shadow Gardevoir","Charge Beam","Synchronoise","16.163","361.2","1524.9","3093"
"Shadow Gallade","Low Kick","Leaf Blade","16.153","361","1521.3","3093"
"Shadow Flygon","Dragon Tail","Earth Power","16.264","352.9","1518.1","2661"
"Shadow Arcanine","Thunder Fang","Wild Charge","15.986","371.5","1517.5","3029"
"Shadow Machamp","Counter","Stone Edge","16.112","359.9","1505.4","3056"
"Shadow Absol","Snarl","Dark Pulse","18.135","252","1502.9","2526"
"Shadow Swampert","Mud Shot","Surf","15.443","407.3","1500","2974"
"Shadow Scizor","Bullet Punch","X-Scissor","16.303","345.6","1497.2","3001"
"Shadow Victreebel","Razor Leaf","Leaf Blade","17.033","302.9","1496.8","2431"
"Shadow Charizard","Ember","Overheat","16.167","353.3","1493","2889"
"Shadow Snorlax","Lick","Skull Bash","14.201","521.3","1492.9","3225"
"Shadow Arcanine","Bite","Flamethrower","15.825","367.7","1457.4","3029"
"Shadow Victreebel","Acid","Sludge Bomb","16.907","300.7","1452.9","2431"
"Shadow Weavile","Snarl","Focus Blast","16.383","329.5","1449","3005"
"Shadow Charizard","Air Slash","Flamethrower","16.045","350.6","1448.3","2889"
"Shadow Raikou","Volt Switch","Thunder","15.222","410.4","1447.6","3452"
"Shadow Tyranitar","Iron Tail","Fire Blast","14.722","453.6","1447.4","3834"
"Shadow Scizor","Bullet Punch","Iron Head","16.163","342.6","1446.7","3001"
"Shadow Exeggutor","Bullet Seed","Seed Bomb","16.03","351.2","1446.5","3014"
"Shadow Electivire","Thunder Shock","Thunder Punch","16.357","330","1444.4","3079"
"Shadow Zapdos","Charge Beam","Thunder","15.401","395.4","1444.4","3527"
"Shadow Cacturne","Poison Jab","Grass Knot","17.877","251.3","1436","2298"
"Shadow Alakazam","Confusion","Fire Punch","17.058","289.1","1434.9","3057"
"Shadow Gyarados","Waterfall","Dragon Pulse","15.183","407.7","1426.9","3391"
"Shadow Vileplume","Acid","Sludge Bomb","16.214","334.5","1425.8","2559"
"Shadow Charizard","Fire Spin","Fire Blast","15.976","349.1","1423.5","2889"
"Shadow Omastar","Rock Throw","Rock Slide","15.702","366.8","1419.8","2786"
"Shadow Shiftry","Feint Attack","Leaf Blade","16.883","294.8","1418.7","2333"
"Shadow Ursaring","Counter","Play Rough","16.23","331.3","1416.4","2945"
"Shadow Magmortar","Karate Chop","Fire Blast","16.077","340.8","1415.9","3132"
"Shadow Machamp","Karate Chop","Heavy Slam","15.86","354.3","1413.3","3056"
"Shadow Machamp","Karate Chop","Submission","15.859","354.3","1413.2","3056"
"Shadow Magnezone","Charge Beam","Zap Cannon","15.611","371.4","1413.2","3205"
"Shadow Flygon","Dragon Tail","Dragon Claw","15.957","346.2","1406.5","2661"
"Shadow Electivire","Thunder Shock","Thunder","16.246","327.8","1405.5","3079"
"Shadow Moltres","Wing Attack","Heat Wave","15.326","385.7","1388.3","3465"
"Shadow Swampert","Water Gun","Earthquake","15.146","399.4","1387.9","2974"
"Shadow Arcanine","Bite","Wild Charge","15.613","362.8","1380.9","3029"
"Shadow Shiftry","Razor Leaf","Leaf Blade","16.768","292.8","1380.2","2333"
"Shadow Alakazam","Counter","Focus Blast","16.874","285.9","1373.9","3057"
"Shadow Mamoswine","Powder Snow","Bulldoze","15.465","370.1","1368.8","3328"
"Shadow Nidoking","Poison Jab","Earth Power","16.081","327.6","1362.2","2567"
"Shadow Charizard","Dragon Breath","Overheat","15.791","345.1","1358.9","2889"
"Shadow Ursaring","Shadow Claw","Play Rough","16.06","327.8","1357.8","2945"
"Shadow Victreebel","Razor Leaf","Sludge Bomb","16.621","295.6","1357.3","2431"
"Shadow Charizard","Ember","Flamethrower","15.781","344.9","1355.3","2889"
"Shadow Aggron","Iron Tail","Heavy Slam","14.637","430.6","1350.3","3000"
"Shadow Politoed","Bubble","Weather Ball Water","15.246","379.7","1345.8","2449"
"Shadow Aerodactyl","Steel Wing","Rock Slide","15.974","329.5","1343.2","2783"
"Shadow Gardevoir","Charge Beam","Shadow Ball","15.653","349.8","1341.6","3093"
"Shadow Alakazam","Psycho Cut","Focus Blast","16.742","283.7","1331.3","3057"
"Shadow Gallade","Charm","Leaf Blade","15.62","349","1330.2","3093"
"Shadow Omastar","Rock Throw","Hydro Pump","15.444","360.8","1329","2786"
"Shadow Houndoom","Fire Fang","Fire Blast","16.472","296.9","1326.8","2635"
"Shadow Vileplume","Razor Leaf","Sludge Bomb","15.923","328.5","1326","2559"
"Shadow Machamp","Karate Chop","Rock Slide","15.593","348.3","1320.6","3056"
"Shadow Flygon","Dragon Tail","Earthquake","15.693","340.5","1315.8","2661"
"Shadow Aggron","Smack Down","Heavy Slam","14.541","427.7","1315.2","3000"
"Shadow Porygon-Z","Charge Beam","Solar Beam","15.948","324.1","1314.8","3266"
"Shadow Torterra","Razor Leaf","Earthquake","14.834","402.3","1313.3","2934"
"Shadow Torterra","Bite","Solar Beam","14.796","401.3","1299.9","2934"
"Shadow Ursaring","Metal Claw","Play Rough","15.866","323.9","1293.5","2945"
"Shadow Shiftry","Snarl","Foul Play","16.482","287.8","1288.5","2333"
"Shadow Gallade","Low Kick","Close Combat","15.486","346","1285.1","3093"
"Shadow Arcanine","Snarl","Fire Blast","15.315","355.9","1278.3","3029"
"Shadow Porygon-Z","Hidden Power (Fire)","Solar Beam","15.833","321.8","1277.1","3266"
"Shadow Porygon-Z","Hidden Power (Fighting)","Solar Beam","15.833","321.8","1277.1","3266"
"Shadow Porygon-Z","Hidden Power (Water)","Solar Beam","15.833","321.8","1277.1","3266"
"Shadow Porygon-Z","Hidden Power (Flying)","Solar Beam","15.833","321.8","1277.1","3266"
"Shadow Porygon-Z","Hidden Power (Grass)","Solar Beam","15.833","321.8","1277.1","3266"
"Shadow Porygon-Z","Hidden Power (Poison)","Solar Beam","15.833","321.8","1277.1","3266"
"Shadow Porygon-Z","Hidden Power (Electric)","Solar Beam","15.833","321.8","1277.1","3266"
"Shadow Porygon-Z","Hidden Power (Ground)","Solar Beam","15.833","321.8","1277.1","3266"
