"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Aggron","Iron Tail","Heavy Slam","12.16","429.2","771.7","3000"
"Samurott","Waterfall","Hydro Pump","12.929","356.5","770.5","2826"
"Haunter","Lick","Shadow Ball","15.877","192.2","769.4","1963"
"Nidoking","Poison Jab","Earth Power","13.284","324.7","761.2","2567"
"Alolan Muk","Snarl","Gunk Shot","12.394","398.9","759.4","2757"
"Gourgeist - Super Size","Hex","Shadow Ball","12.428","395","758.1","2633"
"Beartic","Charm","Ice Punch","12.96","347","755.2","3042"
"Kingdra","Dragon Breath","Outrage","12.736","362.1","747.9","2641"
"Politoed","Bubble","Weather Ball Water","12.563","375.5","744.6","2449"
"Armaldo","Fury Cutter","Return","13.032","335","741.5","2848"
"Ambipom","Scratch","Return","13.595","292.2","734.2","2418"
"Muk","Poison Jab","Gunk Shot","12.248","394.2","724.4","2757"
"Alolan Raichu","Thunder Shock","Wild Charge","13.746","274.1","711.8","2286"
"Vanilluxe","Frost Breath","Blizzard","12.843","335.2","710.2","2822"
"Carracosta","Rock Throw","Surf","12.557","358.4","709.5","2621"
"Florges","Vine Whip","Psychic","11.813","426.8","703.5","3234"
"Abomasnow","Razor Leaf","Weather Ball Ice","12.711","338.8","695.7","2362"
"Noivern","Air Slash","Draco Meteor","12.541","352.2","694.8","2764"
"Poliwrath","Bubble","Dynamic Punch","12.237","375.2","687.5","2586"
"Crobat","Air Slash","Sludge Bomb","12.447","355.1","684.7","2646"
"Articuno","Frost Breath","Blizzard","11.523","445.6","681.8","3051"
"Sharpedo","Bite","Return","15.194","193.2","677.8","2181"
"Skuntank","Poison Jab","Sludge Bomb","12.793","319.7","669.4","2358"
"Rotom Heat","Thunder Shock","Overheat","12.828","316.6","668.4","2579"
"Gourgeist - Large Size","Hex","Shadow Ball","12.181","366.2","661.8","2521"
"Scyther","Fury Cutter","X-Scissor","12.877","309.1","660.1","2706"
"Magneton","Thunder Shock","Discharge","13.563","263.3","656.9","2485"
"Durant","Bug Bite","X-Scissor","12.918","302.1","651.2","2659"
"Carnivine","Vine Whip","Power Whip","13.371","271.8","649.7","2159"
"Regirock","Rock Throw","Stone Edge","10.891","502","648.5","3122"
"Dodrio","Steel Wing","Drill Peck","13.716","250.8","647.2","2362"
"Slowbro","Confusion","Psychic","11.989","374.8","645.9","2545"
"Slowking","Confusion","Psychic","11.989","374.8","645.9","2545"
"Porygon2","Lock-On","Return","12.226","352.4","644.1","2711"
"Ninetales","Fire Spin","Weather Ball Fire","12.379","338.1","641.5","2279"
"Rotom Frost","Thunder Shock","Thunderbolt","12.689","313.2","639.9","2579"
"Rotom Mow","Thunder Shock","Thunderbolt","12.689","313.2","639.9","2579"
"Heatmor","Fire Spin","Flamethrower","13.163","280.2","639","2395"
"Floatzel","Waterfall","Hydro Pump","13.504","257.5","634.1","2443"
"Fraxure","Dragon Tail","Dragon Claw","13.829","238.4","630.5","2234"
"Tangela","Vine Whip","Grass Knot","12.884","292.8","626.3","2238"
"Stoutland","Lick","Wild Charge","12.09","352.1","622.1","2827"
"Ampharos","Volt Switch","Zap Cannon","12.149","344.4","617.6","2852"
"Seismitoad","Bubble","Earth Power","12.136","344.6","616","2564"
"Simisear","Fire Spin","Flamethrower","13.207","265.9","612.5","2350"
"Regice","Frost Breath","Blizzard","10.737","494.9","612.5","3122"
"Simipour","Water Gun","Surf","13.183","265.4","607.9","2350"
"Raichu","Thunder Shock","Wild Charge","13.273","259.9","607.8","2182"
"Lilligant","Hidden Power (Grass)","Solar Beam","12.816","282.7","595.2","2550"
"Kabutops","Waterfall","Stone Edge","12.55","297.6","588.3","2713"
"Lunatone","Rock Throw","Psychic","12.258","317.3","584.5","2327"
"Solrock","Rock Throw","Psychic","12.258","317.3","584.5","2327"
"Alolan Ninetales","Charm","Weather Ball Ice","12.033","333.5","581.1","2309"
"Rotom Fan","Air Slash","Thunderbolt","12.364","305.2","576.9","2579"
"Drapion","Bite","Sludge Bomb","11.96","336.8","576.1","2453"
"Suicune","Snarl","Hydro Pump","10.835","451.2","573.9","2983"
"Wailord","Water Gun","Surf","12.224","313.2","572.2","2280"
"Walrein","Waterfall","Blizzard","11.384","387.8","572.1","2726"
"Deoxys (Speed Forme)","Zen Headbutt","Thunderbolt","12.342","303.3","570.2","2879"
"Nidoqueen","Poison Jab","Earth Power","11.827","342.6","566.7","2488"
"Cloyster","Frost Breath","Avalanche","11.858","339","565.1","2547"
"Pelipper","Wing Attack","Weather Ball Water","12.597","280.9","561.4","2127"
"Gourgeist - Average Size","Hex","Shadow Ball","11.866","334.2","558.3","2390"
"Talonflame","Fire Spin","Brave Bird","12.36","293.1","553.4","2205"
"Crustle","Fury Cutter","Rock Slide","11.845","330.5","549.2","2542"
"Electabuzz","Thunder Shock","Thunderbolt","12.646","270.3","546.6","2334"
"Dragalge","Dragon Tail","Outrage","11.881","325.8","546.4","2383"
"Gothitelle","Confusion","Psychic","11.755","335.6","545.1","2419"
"Piloswine","Powder Snow","Avalanche","12.085","308","543.6","2345"
"Cinccino","Pound","Hyper Beam","12.873","253.9","541.6","2242"
"Clefable","Charm","Meteor Mash","11.728","332.8","536.9","2437"
"Obstagoon","Lick","Hyper Beam","11.232","369.8","524.1","2652"
"Lapras","Water Gun","Surf","10.813","414.1","523.6","2641"
"Gliscor","Fury Cutter","Earthquake","11.282","363.7","522.3","2692"
"Hitmonlee","Low Kick","Return","12.587","260.2","518.9","2576"
"Galvantula","Fury Cutter","Discharge","12.914","239.6","516.1","2206"
"Barbaracle","Water Gun","Grass Knot","11.523","336","514.1","2675"
"Jellicent","Bubble","Shadow Ball","11.238","361.2","512.7","2338"
"Accelgor","Infestation","Bug Buzz","12.777","245.4","511.9","2441"
"Serperior","Vine Whip","Grass Knot","11.438","340.7","509.8","2277"
"Mr. Mime","Confusion","Psychic","12.526","258.2","507.4","2228"
"Grumpig","Extrasensory","Psychic","11.49","331.8","503.4","2369"
"Primeape","Counter","Close Combat","12.74","240.8","497.9","2288"
"Kadabra","Confusion","Shadow Ball","14.151","175","495.9","2059"
"Machoke","Karate Chop","Dynamic Punch","12.548","249.9","493.8","2031"
"Musharna","Zen Headbutt","Future Sight","11.004","370.4","493.6","2723"
"Stantler","Tackle","Return","12.62","245.5","493.4","2164"
"Sawsbuck","Feint Attack","Solar Beam","12.064","276.3","485.1","2416"
"Hitmonchan","Counter","Return","12.127","271.2","483.7","2332"
"Blissey","Pound","Hyper Beam","9.258","604.1","479.4","2757"
"Ferrothorn","Metal Claw","Power Whip","11.047","354","477.1","2321"
"Swellow","Wing Attack","Sky Attack","13.058","214.1","476.7","1920"
"Weezing","Acid","Sludge Bomb","11.586","303.4","471.9","2293"
"Sneasel","Feint Attack","Avalanche","12.723","228.9","471.4","2051"
"Slaking","Yawn","Body Slam","10.571","397","468.9","4431"
"Cresselia","Confusion","Future Sight","9.73","506.9","467","2857"
"Magmar","Karate Chop","Flamethrower","12.222","255.1","465.8","2394"
"Golduck","Water Gun","Hydro Pump","11.643","293.2","462.8","2450"
"Maractus","Poison Jab","Solar Beam","12.371","244","461.9","2274"
"Malamar","Psycho Cut","Foul Play","11.443","307.3","460.5","2359"
"Gastrodon","Mud Slap","Earth Power","11.276","320.2","459.1","2324"
"Gorebyss","Water Gun","Psychic","12.062","261.5","458.8","2494"
"Bouffalant","Mud Shot","Skull Bash","10.964","346.3","456.4","2797"
"Girafarig","Confusion","Psychic","12.409","238.3","455.5","2046"
"Cryogonal","Frost Breath","Solar Beam","10.821","358.7","454.4","2798"
"Throh","Low Kick","Focus Blast","10.779","360","450.9","2562"
"Bellossom","Razor Leaf","Leaf Blade","11.328","309.7","450.2","2281"
"Perrserker","Metal Claw","Iron Head","11.814","271.4","447.4","2386"
"Pidgeot","Gust","Brave Bird","11.572","285","441.7","2129"
"Froslass","Hex","Shadow Ball","11.885","254.5","427.3","2040"
"Camerupt","Ember","Earth Power","12.151","238.1","427.2","2193"
"Ludicolo","Razor Leaf","Solar Beam","11.196","304.2","426.9","2323"
"Fearow","Peck","Sky Attack","12.36","226","426.6","1997"
"Spiritomb","Sucker Punch","Shadow Ball","11.717","264.5","425.4","2072"
"Galarian Mr. Mime","Confusion","Psychic","12.164","236.1","424.9","2068"
"Scrafty","Counter","Foul Play","10.971","321.2","424.1","2283"
"Chatot","Peck","Sky Attack","12.968","188.9","412","1791"
"Sunflora","Razor Leaf","Solar Beam","11.904","242.9","409.6","2141"
"Tentacruel","Poison Jab","Hydro Pump","10.617","338.3","404.9","2422"
"Meowstic - Female","Confusion","Psychic","11.287","276.6","397.7","2124"
"Meowstic - Male","Confusion","Psychic","11.287","276.6","397.7","2124"
"Slurpuff","Charm","Play Rough","11.154","286.6","397.7","2199"
"Wigglytuff","Pound","Play Rough","11.512","260","396.7","1926"
"Bronzong","Confusion","Psychic","10.822","311.6","395","2239"
"Lickilicky","Lick","Hyper Beam","10.292","359.8","392.1","2467"
"Roselia","Poison Jab","Sludge Bomb","12.628","194.5","391.7","1870"
"Relicanth","Water Gun","Hydro Pump","10.14","368.2","383.9","2528"
"Skarmory","Steel Wing","Sky Attack","10.645","316.9","382.3","2108"
"Tauros","Tackle","Earthquake","10.885","293.1","378.1","2620"
"Huntail","Water Gun","Aqua Tail","11.475","248.7","375.8","2340"
"Ninjask","Fury Cutter","Shadow Ball","12.562","189.3","375.3","1969"
"Cofagrigus","Astonish","Shadow Ball","10.649","309.1","373.3","2273"
"Runerigus","Astonish","Shadow Ball","10.649","309.1","373.3","2273"
"Forretress","Bug Bite","Heavy Slam","10.566","316.2","372.9","2282"
"Duosion","Zen Headbutt","Psyshock","12.586","183.5","365.7","2018"
"Uxie","Confusion","Future Sight","9.81","380.3","359","2524"
"Rotom","Thunder Shock","Thunderbolt","11.811","216.8","357.1","2031"
"Beedrill","Bug Bite","Sludge Bomb","11.873","212.7","356","1846"
"Amoonguss","Feint Attack","Grass Knot","10.593","298.9","355.2","2140"
"Glalie","Frost Breath","Avalanche","10.895","274.3","354.8","2105"
"Noctowl","Wing Attack","Sky Attack","10.542","300.2","351.7","2024"
"Whimsicott","Charm","Grass Knot","11.167","251.6","350.5","2014"
"Chimecho","Extrasensory","Shadow Ball","10.858","273.2","349.7","2259"
"Galarian Weezing","Tackle","Play Rough","10.745","281.4","349.1","2293"
"Aromatisse","Charm","Psychic","10.583","292","346.1","2341"
"Sudowoodo","Rock Throw","Rock Slide","10.824","268.3","340.2","2148"
"Doublade","Fury Cutter","Iron Head","10.698","275.6","337.5","2443"
"Kangaskhan","Mud Slap","Outrage","10.194","315.8","334.5","2586"
"Electrode","Spark","Thunderbolt","11.045","245","330.1","2099"
"Cradily","Acid","Grass Knot","10.131","315.9","328.5","2211"
"Venomoth","Bug Bite","Return","11.189","229.4","321.4","2082"
"Weepinbell","Acid","Power Whip","12.481","165","320.7","1611"
"Xatu","Air Slash","Future Sight","11.263","224","320","2188"
"Cherrim (Sunshine Form)","Razor Leaf","Weather Ball Fire","10.994","239.7","318.5","2048"
"Sigilyph","Air Slash","Psybeam","10.703","258.2","316.6","2550"
"Cherrim (Overcast Form)","Razor Leaf","Solar Beam","10.965","239.1","315.2","2048"
"Basculin","Water Gun","Aqua Tail","11.36","212.3","311.3","2090"
"Altaria","Dragon Breath","Sky Attack","10.139","297.9","310.5","2004"
"Hitmontop","Counter","Close Combat","10.711","250.8","308.2","2156"
"Octillery","Water Gun","Gunk Shot","10.962","232.6","306.4","2315"
"Klinklang","Thunder Shock","Hyper Beam","10.318","278.8","306.3","2637"
"Zangoose","Shadow Claw","Close Combat","11.339","210","306.2","2418"
"Parasect","Fury Cutter","Solar Beam","11.242","213.5","303.4","1859"
"Steelix","Iron Tail","Heavy Slam","9.389","366.5","303.4","2414"
"Torkoal","Fire Spin","Overheat","10.164","287.5","301.9","2093"
"Boldore","Smack Down","Rock Slide","11.013","225.8","301.7","2029"
"Seadra","Water Gun","Hydro Pump","11.209","214.2","301.6","2093"
"Lopunny","Pound","Hyper Beam","10.366","267.6","298.1","2059"
"Hypno","Confusion","Psychic","9.906","304.6","296.1","2090"
"Garbodor","Infestation","Gunk Shot","10.343","263.4","291.4","2345"
"Lanturn","Water Gun","Thunderbolt","9.917","296","288.7","2085"
"Alolan Dugtrio","Metal Claw","Earthquake","12.019","165","286.5","1897"
"Alolan Graveler","Rock Throw","Thunderbolt","10.905","218.1","282.9","1897"
"Liepard","Snarl","Dark Pulse","11.739","174.5","282.3","1846"
"Dedenne","Thunder Shock","Play Rough","11.067","208.3","282.3","1841"
"Qwilfish","Water Gun","Aqua Tail","11.026","208.4","279.4","2051"
"Shelgon","Dragon Breath","Return","10.717","225.1","277.1","2031"
"Lairon","Metal Claw","Heavy Slam","10.244","257.4","276.8","2056"
"Galarian Stunfisk","Metal Claw","Earthquake","9.544","314.2","273.2","2162"
"Alolan Marowak","Fire Spin","Shadow Ball","10.351","245.4","272.2","1835"
"Grovyle","Quick Attack","Grass Knot","11.751","167.3","271.5","1673"
"Ivysaur","Vine Whip","Power Whip","10.982","204.7","271.1","1699"
"Miltank","Tackle","Body Slam","9.467","315.7","267.9","2354"
"Dusknoir","Hex","Psychic","9.984","266.5","265.2","2388"
"Swoobat","Confusion","Psychic","11.178","189.2","264.3","1716"
"Swanna","Water Gun","Hurricane","10.717","214.3","263.8","2088"
"Raticate","Quick Attack","Return","11.092","190.9","260.5","1730"
"Bibarel","Water Gun","Hyper Fang","10.825","204.4","259.3","1823"
"Murkrow","Feint Attack","Drill Peck","12.108","145.7","258.6","1562"
"Pignite","Ember","Flamethrower","10.827","201.8","256.2","1924"
"Mandibuzz","Snarl","Foul Play","8.983","352.5","255.5","2138"
"Graveler","Rock Throw","Rock Slide","10.629","212.6","255.2","1897"
"Mothim","Bug Bite","Bug Buzz","11.449","167.9","252","1815"
"Stunfisk","Thunder Shock","Discharge","9.332","307.2","249.6","2162"
"Alomomola","Waterfall","Hydro Pump","9.128","326.5","248.3","2169"
"Vivillon","Bug Bite","Hurricane","10.996","184.6","245.4","1855"
"Castform","Tackle","Weather Ball","10.502","209.9","243.1","1632"
"Castform (Rainy)","Water Gun","Weather Ball Water","10.502","209.9","243.1","1632"
"Seaking","Waterfall","Megahorn","10.106","232.9","240.4","2162"
